parent_asin,price,rated,Leaf_Category,Color,Chipset Brand,Operating System,Average Battery Life (in hours),RAM_Size,RAM_Type,Storage_Size,Storage_Type,Screen_Category,Brand_Normalized,Weight_Category
B004XCWPTK,138.97,Decent,Traditional Laptops,,Intel,Windows XP;,,4GB,DDR2,160GB,HDD,Normal,Dell,Heavy
B004XZMCAY,700.0,Well,Laptops,Foggy Night,Intel,Windows 7,,1GB,DDR3,320GB,HDD,Compact,Dell,Light
B004Y3PYK0,295.97,Decent,Traditional Laptops,,Intel,Windows 7,,8GB,DDR3,128GB,HDD,Compact,Dell,Heavy
B004YIU7J8,299.99,Decent,Traditional Laptops,,Intel,"Windows 8, Other",,4GB,,320GB,HDD,Normal,Lenovo,Heavy
B004Z4Y5QW,117.05,Well,Traditional Laptops,,NVIDIA,Windows 7,,4GB,DDR3,500GB,SSD,Compact,Dell,Heavy
B0050J5PWY,119.95,Decent,Traditional Laptops,Silver,Intel,Windows 10 Pro,4 Hours,4GB,,320GB,HDD,Compact,HP,Light
B00563AX30,79.0,Decent,Traditional Laptops,White,Intel,Chrome OS,8.5 Hours,2GB,DDR3,16GB,SSD,Compact,Samsung,Light
B006KYY0GA,319.19,Well,Traditional Laptops,Black,Intel,Windows 7,,6GB,DDR3,500GB,HDD,Compact,Samsung,Heavy
B007CKOG42,495.97,Decent,Traditional Laptops,Black,Intel,Windows 7,,8GB,DDR4,500GB,HDD,Huge,Dell,Heavy
B007G7CO2C,399.0,Highly,Traditional Laptops,Black,Intel,Windows 7,4.5 Hours,4GB,,500GB,HDD,Normal,Acer,Heavy
B007KPZ9Z4,95.19,Decent,Traditional Laptops,,,Windows XP;,,,,,,Compact,Dell,Heavy
B007PN2L3Y,129.99,Highly,Traditional Laptops,"Grey, Silver",Intel,Windows 7,3 Hours,8MB,DDR3,320GB,HDD,Compact,Dell,Heavy
B00839XQU6,109.0,Well,Traditional Laptops,Silver,Intel,Windows 7 Professional,,8GB,DDR3,250GB,HDD,Compact,HP,Heavy
B008BM21L0,297.95,Well,Traditional Laptops,,Intel,Windows XP Home,,2GB,DDR2,60GB,HDD,Compact,Dell,Heavy
B008ABL2H6,129.0,Decent,Traditional Laptops,,Intel,Windows 7,,4GB,DDR3,320GB,SSD,Compact,HP,Heavy
B008V6TOAC,99.0,Well,Traditional Laptops,,,Windows 7,,,,,,Compact,Dell,Heavy
B0091T2GLC,975.0,Decent,2 in 1 Laptops,"FHD, Iron Gray",Intel,Windows 10,12 Hours,12GB,DDR4,512GB,SSD,Compact,Lenovo,Light
B0092H341O,105.0,Well,Traditional Laptops,Black,Intel,Windows 7,,8GB,DDR3,320GB,HDD,Normal,Dell,Heavy
B009AU2JT6,499.97,Well,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR3,,SSD,Compact,HP,Light
B009F1JL5A,499.95,Decent,Traditional Laptops,Black,Intel,Windows 8,5.5 Hours,4GB,DDR3,500GB,HDD,Compact,ASUS,Light
B009HPGN00,499.99,Well,Traditional Laptops,Black,AMD,Windows 8,,4GB,DDR3,500GB,HDD,Compact,HP,Light
B009PHTHRG,322.89,Decent,Traditional Laptops,,,Windows 8,,,,,,Normal,HP,
B009RUS452,359.99,Decent,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR3,500GB,SSD,Normal,ASUS,Heavy
B009T3EYHO,69.99,Highly,Traditional Laptops,Silver,,Chrome OS,6.3 Hours,2GB,DDR3L,16GB,SSD,Compact,Samsung,Light
B009UDYQJ4,24.95,Highly,Traditional Laptops,Black metallic,,Windows Vista or Later,,520MB,,512GB,HDD,,Samsung,Light
B009UESY2I,249.95,Decent,Traditional Laptops,,NVIDIA,Windows 7 Professional,,4MB,DDR3,180GB,SSD,Compact,Lenovo,Heavy
B009Y8QPTY,109.0,Decent,Traditional Laptops,Silver,Intel,Windows 7 Professional,,2GB,DDR2,120GB,HDD,Normal,Latitude,Heavy
B01F1A7S6W,1617.0,Well,Traditional Laptops,,Intel,Windows 10,,8GB,DDR4,1TB,HDD,Normal,ASUS,Heavy
B00AGKRGPQ,124.0,Well,Traditional Laptops,Silver,,Windows 7 Professional,,4GB,DDR3,500GB,HDD,Normal,Latitude,
B00AH4A950,199.0,Decent,Traditional Laptops,,Intel,Windows 8,5.5 Hours,4GB,DDR3,320GB,HDD,Compact,Acer,Light
B00AM7MNII,649.95,Well,Traditional Laptops,Moon Silver,Intel,Windows 8,,6GB,DDR3,750GB,HDD,Huge,Dell,Heavy
B00ANG3T1S,399.99,Well,Traditional Laptops,Silver Anodized Aluminum,,Windows 8,,,,,,Compact,Dell,
B00AQ2DS8S,215.8,Well,Traditional Laptops,Black,Intel,Windows 8,8 Hours,8GB,DDR3,240GB,SSD,Compact,Lenovo,Light
B00ATANVLG,384.53,Decent,2 in 1 Laptops,Gray,Intel,Windows 8,8 Hours,4GB,DDR3,128GB,SSD,Compact,Lenovo,Light
B00ATANVLQ,1195.97,Well,Traditional Laptops,Metal - Dusk Black,NVIDIA,Windows 8,3 Hours,12GB,DDR3,16GB,SSD,Normal,Lenovo,Heavy
B00ATANXCS,799.99,Well,2 in 1 Laptops,Gray,Intel,Windows 8,8 Hours,4GB,DDR3,128GB,SSD,Compact,Lenovo,Light
B00AYA40UC,549.99,Well,Traditional Laptops,Black,,Windows 8,,,,,,Normal,HP,
B00B0EUST8,99.0,Highly,Traditional Laptops,Silver,Intel,Windows 7,,2GB,DDR3,160GB,HDD,Normal,Dell,Heavy
B00B6TMIRC,585.97,Well,Traditional Laptops,Black,Intel,Windows 7,,8GB,DDR3,180GB,SSD,Compact,Lenovo,Light
B00B7K0ZG6,458.5,Decent,Traditional Laptops,Black,Intel,Windows 8,,6GB,DDR3,500GB,SSD,Normal,ASUS,Heavy
B00BB9OXK2,185.94,Decent,Traditional Laptops,Iron Gray,Intel,Chrome OS,4 Hours,4GB,DDR3,320GB,HDD,Compact,Acer,Light
B00BBLEX78,340.7,Well,Traditional Laptops,Black,Intel,Windows 8 Professional x64,10 Hours,4GB,DDR3,180GB,HDD,,Lenovo,Light
B00BBLEYXQ,375.95,Decent,2 in 1 Laptops,Black,Intel,Windows 8,10 Hours,8GB,DDR3,256GB,SSD,Compact,Lenovo,Light
B00BFFAWHK,119.0,Decent,Traditional Laptops,Black,Intel,"Windows 7 Professional x64, Upgradeable to Genuine Windows 8 Pro",,4MB,DDR3,500GB,HDD,Compact,Lenovo,Heavy
B00BFFAY9Q,399.95,Well,Traditional Laptops,Black,Intel,Windows 7 Professional,,4GB,DDR3,500GB,HDD,Normal,Lenovo,Heavy
B00BNRKWMU,168.99,Decent,Traditional Laptops,Silver,Intel,Windows 8 Professional,9.5 Hours,8GB,DDR3,256GB,HDD,Compact,HP,Light
B00BZS9IEA,120.0,Highly,Traditional Laptops,Black,Intel,Windows 8,5 Hours,4GB,DDR3,500GB,SSD,Compact,ASUS,Light
B00COQGI7C,290.0,Decent,Traditional Laptops,,Intel,Windows 8,,6GB,,500GB,HDD,Normal,ASUS,Heavy
B00CPIF63G,120.0,Well,Traditional Laptops,,Intel,Other,5 Hours,2GB,DDR3,320GB,HDD,Compact,ASUS,Light
B00CRJQG4G,399.94,Well,Traditional Laptops,,Intel,Windows 7 Professional,9.1 Hours,4GB,DDR3,500GB,HDD,Normal,Lenovo,Heavy
B00CRGJENO,399.99,Well,Traditional Laptops,Black Matte with Textured Finish,Intel,Windows 8,,6GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B00CRGJJIO,499.0,Decent,Traditional Laptops,Black Matte with Textured Finish,Intel,Windows 8,,8GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B00CRXZSYQ,999.97,Decent,Traditional Laptops,Metal - Dusk Black,NVIDIA,Windows 8,3 Hours,8GB,DDR3,1TB,HDD,Normal,Lenovo,Heavy
B00CU2K6MS,399.99,Decent,Traditional Laptops,Chrome,Intel,Windows 7,6.5 Hours,4GB,DDR3,500GB,HDD,Compact,Acer,Heavy
B00CXFJPJC,79.99,Decent,Traditional Laptops,Sparkling black,Intel,Chrome OS,4.25 Hours,4GB,DDR3L,16GB,SSD,Compact,HP,Light
B00D4B2V90,378.95,Well,Traditional Laptops,,Intel,Windows 7 Professional,,4GB,DDR3,500GB,HDD,Compact,Lenovo,Heavy
B00D6WF80G,149.95,Decent,Traditional Laptops,Iron Gray,Intel,Chrome OS,4 Hours,2GB,DDR3,16GB,SSD,Compact,Acer,Light
B00DHBDY8Y,100.0,Decent,Traditional Laptops,Black,AMD,Windows 8,,4GB,DDR3,500GB,HDD,Compact,ASUS,Heavy
B00DMMPQ3O,599.0,Well,Traditional Laptops,,,Windows 8,,,,,,Normal,Toshiba,
B00DNGRL82,226.83,Decent,Traditional Laptops,Gray,Intel,Other,4 Hours,2GB,DDR3,16GB,HDD,Compact,Acer,Light
B00DQGBABI,395.97,Decent,Traditional Laptops,Black Aluminum,Intel,Windows 8,5 Hours,4GB,DDR3,500GB,SSD,Compact,ASUS,Heavy
B00DXFF6QC,599.99,Well,Traditional Laptops,Dark Gray,NVIDIA,Windows 8,,8GB,DDR3,1024GB,HDD,Huge,ASUS,Heavy
B00DYCKVQY,257.43,Decent,Traditional Laptops,Chill Silver,AMD,Windows 8,3.5 Hours,4GB,DDR3,500GB,HDD,Compact,Acer,Light
B08VDQSTZX,1789.0,Well,Traditional Laptops,9 5900HS | RTX 3060 | Gray,NVIDIA,Windows 10 Home,,16GB,DDR4,1TB,SSD,Normal,Hidevolution,Heavy
B00E7LJJFU,195.0,Well,Traditional Laptops,,MediaTek,Chrome OS,8.5 Hours,4GB,DDR3L,64GB,eMMC,Compact,Lenovo,Heavy
B00E7LX8IO,200.0,Well,Traditional Laptops,,AMD,Windows 7 Professional,,8GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B07WGQWNLF,849.0,Decent,Traditional Laptops,Ceramic White,Intel,Chrome OS,13 Hours,4GB,,128GB,SSD,Normal,HP,Heavy
B00EC4QJAU,140.94,Decent,Traditional Laptops,Silver,AMD,Windows 8,,4GB,,500GB,HDD,Compact,Acer,Light
B00EPGHE0E,1329.99,Well,Traditional Laptops,Blue,Intel,Windows 8,8 Hours,8GB,DDR3,256GB,HDD,Compact,ASUS,Light
B00HKU68RW,360.0,Well,Traditional Laptops,Granite Gray,Intel,Chrome OS,7.5 Hours,4GB,DDR3,16GB,SSD,Compact,Acer,Light
B00EYTI0TG,199.0,Decent,Traditional Laptops,Iron Gray,Intel,Chrome OS,4 Hours,2GB,DDR3,16GB,SSD,Compact,Acer,Light
B00F0RC48E,369.0,Well,Traditional Laptops,Black,Intel,Windows 8,5 Hours,8GB,DDR3,500GB,SSD,Normal,Lenovo,Heavy
B00F0RC4VQ,1295.97,Decent,Traditional Laptops,Dusk Black,NVIDIA,Windows 8,4 Hours,8GB,DDR3,1TB,SSD,Normal,Lenovo,Heavy
B00F32ZB68,349.99,Decent,Traditional Laptops,Black,Intel,Windows 8,4 Hours,4GB,DDR3,500GB,HDD,Compact,Lenovo,Light
B00F3TZCEC,489.99,Well,Traditional Laptops,Dark Gray,,Windows 8,,,,,,Normal,ASUS,
B0161ZDEEQ,259.0,Highly,Traditional Laptops,Silver,Intel,OS X 10.10 Yosemite,12 Hours,4GB,DDR3,128GB,SSD,Compact,Apple,Light
B00FA7YCCU,549.53,Well,Traditional Laptops,Silver,,Windows 7,,,,,,Compact,Panasonic,
B00FE5ZUA6,306.99,Well,Traditional Laptops,Black,Intel,Windows 7,15.25 Hours,4GB,DDR3L,180GB,HDD,Compact,HP,Light
B07WHMB4QL,1199.99,Decent,Traditional Laptops,Black,NVIDIA,Windows 10 Home,"6.0, 4.0 Hours",8GB,,256GB,SSD,Normal,Omen,Heavy
B00FI1FUKG,659.0,Well,2 in 1 Laptops,Silver,,Windows 8,,4GB,DDR4,,SSD,Compact,Lenovo,Light
B00FNPD1VW,97.49,Highly,Traditional Laptops,Granite Gray,Intel,Chrome OS,8.5 Hours,2GB,DDR3L,16GB,SSD,Compact,Acer,Light
B00FU83YWS,300.6,Decent,Traditional Laptops,Black,AMD,Windows 7,6 Hours,4GB,DDR3,320GB,HDD,Normal,Lenovo,Heavy
B00G8VOX7G,444.25,Well,2 in 1 Laptops,sparkling black,Intel,Windows 8,5.5 Hours,4GB,DDR3L,64GB,SSD,Compact,HP,Light
B00GJ1CFZ2,289.0,Well,Traditional Laptops,Black,Intel,Windows 8,,4MB,DDR3,320GB,HDD,Compact,ASUS,Heavy
B00GK6GIM2,436.0,Well,Traditional Laptops,Cold Steel,Intel,Windows 8,,6GB,DDR3,750GB,HDD,Normal,Acer,Heavy
B00GQATWW0,129.0,Well,Traditional Laptops,Black,Intel,Windows 7,7 Hours,4GB,DDR3,500GB,HDD,Compact,Lenovo,Heavy
B00GRG9WKU,122.55,Decent,Traditional Laptops,BROWN,Intel,Windows 7,,4MB,DDR3L,500GB,SSD,Compact,Dell,Heavy
B00GT79B80,159.0,Decent,Traditional Laptops,Silver,,Windows 7 Professional,,,,,,Compact,Dell,
B00GVGIP9A,122.97,Well,Traditional Laptops,,Intel,Windows XP;,,2GB,DDR2,80GB,HDD,Normal,Dell,Heavy
B00GZ1GV3I,97.49,Decent,Traditional Laptops,Granite Gray,Intel,Chrome OS,8.5 Hours,2GB,DDR3L,,SSD,Compact,Acer,Light
B00GZB8D0M,89.5,Decent,Traditional Laptops,Granite Gray,Intel,Chrome OS,8.5 Hours,2GB,DDR3L,16GB,SSD,Compact,Acer,Light
B00HD7IX7K,350.0,Well,Traditional Laptops,Black,NVIDIA,Windows 7 Professional,11.1 Hours,8GB,DDR3L,256GB,HDD,Normal,Lenovo,Light
B0CH2GKPHP,399.99,Highly,Traditional Laptops,Grey,Intel,Chrome OS,,4GB,DDR4,64GB,eMMC,Compact,Acer,Light
B00HQ96JU8,782.63,Decent,Traditional Laptops,Black,Intel,Windows 8,9 Hours,8GB,DDR3,256GB,SSD,Compact,Lenovo,Light
B00HQZGZ38,250.0,Decent,Traditional Laptops,Black,Intel,Windows 8,4 Hours,4GB,DDR3,500GB,HDD,Normal,ASUS,Heavy
B00HRLSS3Q,299.0,Well,Traditional Laptops,Black,Intel,Windows 8,,6GB,DDR3L,750GB,HDD,Normal,Dell,Heavy
B00HRLSSKO,399.0,Decent,Traditional Laptops,,Intel,Windows 8,,4GB,DDR3L,500GB,HDD,Normal,Dell,Heavy
B00HRO2ZP0,799.99,Decent,2 in 1 Laptops,Carbon Fiber,Intel,Windows 8,8.5 Hours,8GB,DDR3L,,SSD,Compact,Dell,Heavy
B00HRO3018,519.97,Well,2 in 1 Laptops,Carbon Fiber,Intel,Windows 8,,4GB,DDR3L,,SSD,Compact,Dell,Heavy
B00HXN8P2C,1000.0,Well,Traditional Laptops,Black,NVIDIA,Windows 8 Professional,12.7 Hours,8GB,DDR3L,240GB,HDD,Compact,Lenovo,Light
B00HZXGC0M,368.98,Decent,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR4,500GB,HDD,,ASUS,Heavy
B00I52A13Q,299.95,Well,Traditional Laptops,Black,Intel,Windows 7,6 Hours,4GB,DDR3,500GB,HDD,Normal,Lenovo,Heavy
B00I9HU29K,379.0,Well,2 in 1 Laptops,Carbon Black,,Windows 8,,,,,,Compact,Dell,
B00IGEAKO8,107.89,Well,Traditional Laptops,Silver,Intel,Windows 7,,4GB,DDR3,160GB,HDD,Normal,Dell,Heavy
B00IIEKVTK,293.41,Decent,Traditional Laptops,,AMD,Windows 7,6 Hours,8GB,DDR4,120GB,SSD,Normal,Lenovo,Heavy
B00IKL5RDQ,599.95,Well,Traditional Laptops,Black,Intel,Windows 8,9 Hours,4GB,DDR3,128GB,SSD,Compact,Lenovo,Light
B00IMTQ6I6,1087.99,Decent,Traditional Laptops,Alumium Black,NVIDIA,Windows 8,,8GB,DDR3L,1TB,HDD,Huge,MSI,Heavy
B00IQ4E0ZI,899.0,Well,Traditional Laptops,Black,Intel,Windows 8,,8GB,DDR3L,18GB,HDD,Normal,MSI,Heavy
B00IQEA8UE,260.39,Decent,2 in 1 Laptops,Black/ Silver,Intel,Windows 8,,4GB,DDR3L,500GB,HDD,Compact,Lenovo,Light
B00IWDUN6S,559.0,Decent,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR3,128GB,SSD,Compact,HP,Heavy
B00JF07WE8,197.88,Decent,Traditional Laptops,Jet Black,,Chrome OS,8 Hours,4GB,DDR3L,16GB,SSD,Compact,Samsung,Light
B00JI9HISQ,89.99,Decent,Traditional Laptops,Black,Intel,Chrome OS,10 Hours,4GB,DDR3,32GB,eMMC,Compact,ASUS,Light
B00JI9IOW0,305.95,Well,Traditional Laptops,,AMD,Windows 8,,4GB,DDR3,500GB,HDD,Compact,Lenovo Group Limited,Heavy
B00JW6O9EQ,172.01,Decent,Traditional Laptops,,Intel,Windows 10,4.5 Hours,4GB,DDR3,500GB,HDD,Normal,HP,Heavy
B00JXLGE70,839.0,Well,2 in 1 Laptops,,Intel,Windows 8,5.5 Hours,8GB,DDR3L,256GB,SSD,Compact,Dell,Heavy
B00K4PAP06,349.99,Well,Traditional Laptops,Silver,AMD,Windows 8,7.25 Hours,2GB,DDR3L,1TB,HDD,Normal,Dell,Heavy
B00K6ZIGG4,349.0,Decent,Traditional Laptops,Black,Intel,Windows 8,5 Hours,8GB,DDR3,1TB,HDD,Normal,Lenovo,Heavy
B00KD5SEPK,129.95,Decent,Traditional Laptops,Black,,Chrome OS,,,,,,Compact,ASUS,
B00KDWVS4C,119.0,Well,Traditional Laptops,Black,Intel,Windows 7,,4GB,DDR3,160GB,HDD,Normal,Lenovo,Heavy
B00KNM3UW0,449.99,Well,Traditional Laptops,Black,AMD,Windows 8,,8GB,,1TB,HDD,Compact,Lenovo,Heavy
B00KZIXGIU,699.0,Well,2 in 1 Laptops,Black,Intel,Windows 8,,8GB,,128GB,HDD,Compact,Lenovo,Heavy
B00L156USY,680.0,Decent,2 in 1 Laptops,Silver,Intel,Windows 8.1,,4GB,,128GB,SSD,Compact,Lenovo,Light
B00L87IC2C,97.49,Well,Traditional Laptops,,Intel,PC,8.5 Hours,2GB,,16GB,HDD,Compact,Acer,Light
B00L87IJH0,97.49,Well,Traditional Laptops,,Intel,PC,8.5 Hours,2GB,,32GB,HDD,Compact,Acer,Light
B00LAEUBN6,139.0,Well,Traditional Laptops,Black,Intel,Windows 10,,4GB,DDR3,320GB,HDD,Compact,Lenovo,Heavy
B00LAGGR3W,329.0,Decent,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B00LD88UZK,339.0,Well,Traditional Laptops,Black,Intel,Windows 8,,4GB,DDR3,750GB,HDD,Normal,HP,Heavy
B00LDH1LRU,215.99,Decent,Traditional Laptops,Silver,Intel,Windows 7,,4GB,DDR3,320GB,HDD,Normal,HP,Heavy
B00LNTHBRW,279.86,Well,Traditional Laptops,Gray,Intel,Windows 8,,2GB,DDR3,32GB,eMMC,Compact,ASUS,Light
B00LT1JQ5Y,1099.99,Decent,Traditional Laptops,Black,NVIDIA,Windows 8,,16GB,DDR3L,256GB,SSD,Normal,Lenovo,Heavy
B08C2N474L,839.0,Decent,Traditional Laptops,,,Windows 10,7 Hours,32GB,,1024GB,HDD,Normal,HP,Heavy
B00M789XJ2,69.99,Well,Traditional Laptops,,NVIDIA,Chrome OS,13 Hours,4GB,DDR3L,16GB,eMMC,Compact,Acer,Light
B00MKAAMUG,914.77,Well,Traditional Laptops,,Intel,Windows 7,,12GB,DDR3,,HDD,Huge,HP,Heavy
B00MKDRJI6,149.48,Well,Traditional Laptops,Black,,Windows 7,,,,,,Normal,Lenovo,Heavy
B00MM2WA8O,655.0,Decent,Traditional Laptops,,Intel,Windows 10,7.5 Hours,12GB,DDR3,512GB,HDD,,Acer,Heavy
B00MMLV7VQ,159.95,Highly,Traditional Laptops,Moonstone White,Intel,Chrome OS,8.5 Hours,2GB,DDR3L,16GB,SSD,Compact,Acer,Light
B00MVJYK6S,269.99,Highly,Traditional Laptops,Natural silver,AMD,Windows 8,6.5 Hours,2GB,DDR3L,32GB,SSD,Compact,HP,Light
B00N1JR61S,129.0,Well,Traditional Laptops,,Intel,Windows 7,,4GB,DDR4,320GB,HDD,Normal,HP,Heavy
B00NC06K3G,229.95,Decent,Traditional Laptops,Grey Metal,Intel,Windows 8,11 Hours,2GB,DDR3,64GB,HDD,Compact,ASUS,Light
B00NG1IWQY,1099.99,Well,Traditional Laptops,,Intel,Windows 7,,16GB,,1TB,HDD,Huge,HP,Heavy
B00NHCSL36,559.0,Well,2 in 1 Laptops,,Intel,"Windows 8 Pro, Other",,8GB,DDR4,128GB,HDD,Compact,Lenovo,Heavy
B00NJVRTHE,1120.0,Decent,Traditional Laptops,Black,NVIDIA,Windows 8,3.5 Hours,12GB,DDR3L,1TB,HDD,Huge,ASUS,Light
B00NMVEWC6,269.95,Highly,2 in 1 Laptops,Blue,Intel,Windows 8.1,9 Hours,4GB,DDR3,64GB,SSD,Compact,ASUS,Heavy
B08SKSB72P,659.89,Decent,Traditional Laptops,Gray,Intel,Windows 10,,12GB,DDR4,512GB,SSD,Normal,Lenovo,Heavy
B00NUTRLEG,119.99,Decent,Traditional Laptops,Silver,Intel,Windows 7,,2GB,DDR3,160GB,HDD,Normal,Dell,Heavy
B00O4OS5SC,899.95,Well,Traditional Laptops,Gray,NVIDIA,Windows 8.1,,12GB,DDR3L,1024GB,HDD,Huge,MSI,Heavy
B00OJHHYOA,699.0,Decent,Traditional Laptops,Black,NVIDIA,Windows 8,,8GB,DDR3L,1TB,HDD,Normal,Lenovo,Heavy
B00OVFGU36,639.9,Decent,2 in 1 Laptops,Silver,Intel,Windows 8,9 Hours,12GB,DDR4,256GB,SSD,Compact,Lenovo,Light
B00OZJQVTG,168.0,Highly,Traditional Laptops,Cobalt Blue,Intel,Windows 10,10.45 Hours,2GB,,32GB,eMMC,Compact,HP,Light
B00P8DK7AM,159.95,Highly,Traditional Laptops,Moonstone White,Intel,Chrome OS,8.5 Hours,2GB,DDR3L,16GB,SSD,Compact,Acer,Light
B00P8OMIDK,549.0,Well,Traditional Laptops,,Intel,Windows 8,,4GB,DDR3,500GB,HDD,Normal,ASUS,Heavy
B0BL62KP3J,1999.99,Decent,Traditional Laptops,Core Black,NVIDIA,Windows 10 Pro,,16GB,DDR4,1TB,SSD,Huge,MSI,Heavy
B00PL0HRNC,465.88,Highly,Traditional Laptops,,Intel,Windows 8,,4GB,DDR3,500GB,HDD,Normal,HP,Heavy
B00PRNCTJK,280.88,Well,Traditional Laptops,Black,Intel,Windows 8,6 Hours,4GB,DDR3,500GB,SSD,Normal,Lenovo,Heavy
B00PRND44E,499.0,Decent,Traditional Laptops,Black,Intel,Windows 7,7 Hours,6GB,DDR3,1TB,HDD,Normal,Lenovo,Heavy
B00PVOY9T8,299.98,Decent,2 in 1 Laptops,Silver,Intel,Windows 8,6 Hours,4GB,DDR3,500GB,HDD,Compact,Dell,Heavy
B00PWF7WJA,2248.5,Well,Traditional Laptops,Black,Intel,Windows 8,10.9 Hours,8GB,DDR3L,256GB,HDD,Compact,Lenovo,Light
B00Q441QRW,300.0,Decent,2 in 1 Laptops,Silver,Intel,Windows 8.1,,8GB,DDR3,500GB,HDD,Compact,Dell,Heavy
B00RH69VT6,300.0,Decent,Traditional Laptops,,Intel,Windows 8,6 Hours,4GB,DDR3L,500GB,HDD,Normal,Dell,Heavy
B00RH69WRM,358.97,Decent,Traditional Laptops,,Intel,Windows 8,,4GB,DDR3,500GB,HDD,Normal,Dell,Heavy
B00RH69YE8,399.0,Well,Traditional Laptops,,Intel,Windows 8,,8GB,DDR3,1TB,HDD,Normal,Dell,
B00S1UIG9S,219.95,Decent,Traditional Laptops,Black,Intel,Windows 7,,4GB,,320GB,HDD,Compact,Lenovo,Light
B00SBQ7GHU,339.95,Decent,Traditional Laptops,Black,Intel,Windows 7,9 Hours,4GB,DDR3L,500GB,HDD,Normal,Lenovo,Heavy
