store,product_count,market_share_pct,avg_price,median_price,min_price,max_price,avg_rating,total_reviews,avg_reviews_per_product,price_tier,portfolio_size
Chicbuy,1,0.01833180568285976,347.67,347.67,347.67,347.67,4.4,154,154.0,Budget,Specialist
Laptop Authority,1,0.01833180568285976,1999.0,1999.0,1999.0,1999.0,4.6,3,3.0,Luxury,Specialist
GMKtec,1,0.01833180568285976,,,,,4.6,17,17.0,Unknown,Specialist
MANJEE,1,0.01833180568285976,,,,,3.7,83,83.0,Unknown,Specialist
Generic,1,0.01833180568285976,162.21,162.21,162.21,162.21,3.5,83,83.0,Budget,Specialist
HBESTORE,1,0.01833180568285976,199.99,199.99,199.99,199.99,3.6,157,157.0,Budget,Specialist
Lenovo IdeaPad,1,0.01833180568285976,444.0,444.0,444.0,444.0,3.3,45,45.0,Mid-Range,Specialist
Goldengulf,1,0.01833180568285976,218.86,218.86,218.86,218.86,3.9,400,400.0,Budget,Specialist
XIDU,1,0.01833180568285976,,,,,3.5,96,96.0,Unknown,Specialist
Geekplus,1,0.01833180568285976,,,,,3.9,141,141.0,Unknown,Specialist
Huashe,1,0.01833180568285976,,,,,3.5,88,88.0,Unknown,Specialist
