parent_asin,title,main_category,categories,details,price,average_rating,rating_number,spec_keys_found,spec_keys
B0041RSE6U,Acer Aspire One AOD255-1625 10.1-Inch Netbook (Sandstone Brown),Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""1 GB DDR3"", ""Brand"": ""Acer"", ""Color"": ""Sandstone Brown"", ""Series"": ""Aspire One"", ""CPU Model"": ""Intel Atom"", ""CPU Speed"": ""1.5 GHz"", ""Processor"": ""1.5 GHz intel_atom"", ""Hard Drive"": ""250 GB SATA"", ""Model Name"": ""Aspire One"", ""Item Weight"": ""2.76 pounds"", ""Screen Size"": ""10.1 Inches"", ""Battery Type"": ""Lithium_ion"", ""Memory Speed"": ""1066 MHz"", ""Power Source"": ""Corded Electric"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11b"", ""Hard Disk Size"": ""250 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Graphics Media Accelerator3150"", ""Operating System"": ""Windows 7 Starter"", ""Hardware Platform"": ""PC"", ""Item model number"": ""AOD255-1625"", ""Screen Resolution"": ""1024 x 600"", ""Product Dimensions"": ""7.28 x 10.17 x 0.95 inches"", ""Audio-out Ports (#)"": ""1"", ""Date First Available"": ""October 1, 2010"", ""Graphics Coprocessor"": ""Intel GMA 3150"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1024 x 600 Pixels"", ""Item Dimensions  LxWxH"": ""7.28 x 10.17 x 0.95 inches"", ""Number of USB 2.0 Ports"": ""3"", ""Graphics Card Description"": ""Graphics Media Accelerator3150"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""10.1 Inches"", ""Average Battery Life (in hours)"": ""8 Hours""}",,3.7,45,15,"Standing screen display size, CPU Speed, Graphics Coprocessor, RAM, Graphics Card Description"
B07LFCTS2L,"2019 HP 15.6"" FHD IPS Touchscreen Laptop Computer, 8th Gen Intel Quad-Core i5-8250U up to 3.4GHz (Beat i7-7500U), 16GB DDR4, 1TB HDD + 512GB SSD, 802.11ac WiFi, USB 3.1, Bluetooth, HDMI, Windows 10",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""16 GB DDR4"", ""Brand"": ""HP"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Speed"": ""3.4 GHz"", ""Processor"": ""3.4 GHz"", ""Hard Drive"": ""HDD"", ""Resolution"": ""1080p, 4K"", ""Item Weight"": ""2.2 Kilograms"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2400 MHz"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""Bluetooth, 802.11ac"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10"", ""Flash Memory Size"": ""512 GB"", ""Item model number"": ""15-cc610"", ""Product Dimensions"": ""14.88 x 9.93 x 0.78 inches"", ""Computer Memory Type"": ""DDR4 SDRAM"", ""Date First Available"": ""December 17, 2018"", ""Graphics Coprocessor"": ""Intel UHD Graphics 630"", ""Number of Processors"": ""4"", ""Hard Disk Description"": ""HDD, SSD"", ""Item Dimensions  LxWxH"": ""14.88 x 9.93 x 0.78 inches"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""16 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""15.6 Inches""}",,4.2,30,14,"Standing screen display size, CPU Speed, Graphics Coprocessor, RAM, Batteries"
B08DPTMCYD,Laqueena SB10K97580 01AV422 01AV423 Laptop Battery Compatible with Lenovo ThinkPad A475 A485 T470 T570 T480 T580 P51S P52S TP25 Series 01AV424 01AV452 01AV490 SB10K97579 SB10K97597 61 11.4V 24WH,All Electronics,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""LAQUEENA"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Unit Count"": ""1 Count"", ""Item Weight"": ""5.9 ounces"", ""Manufacturer"": ""Laqueena"", ""Best Sellers Rank"": {""Electronics"": 105125, ""Laptop Batteries"": 1536}, ""Country of Origin"": ""China"", ""Package Dimensions"": ""9.84 x 2.95 x 1.46 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Date First Available"": ""July 27, 2020"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop""}",34.99,3.9,65,1,Batteries
B01MY2NJSH,"MSI GP62MVR Leopard Pro-406 15.6"" Performance Gaming Laptop Core i7-7700HQ GTX 1060 16GB 256GB SSD VR Ready",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""3 GB DDR4"", ""Brand"": ""MSI"", ""Color"": ""Black/Red"", ""Series"": ""GP62MVR Leopard Pro-406"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.8 GHz core_i7"", ""Hard Drive"": ""256 GB SSD"", ""Model Name"": ""GP62MVR Leopard Pro-406"", ""Item Weight"": ""9.63 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2400 MHz"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11n, 802.11b, 802.11g"", ""Hard Disk Size"": ""256 GB"", ""Processor Brand"": ""Intel"", ""Special Feature"": ""Backlight Keyboard"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10"", ""Flash Memory Size"": ""256"", ""Hardware Platform"": ""PC"", ""Item model number"": ""GP62MVR Leopard Pro-406"", ""Product Dimensions"": ""15.07 x 1.14 x 10.23 inches"", ""Computer Memory Type"": ""GDDR5"", ""Date First Available"": ""January 5, 2017"", ""Graphics Coprocessor"": ""NVIDIA GeForce GTX 1060"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1920x1080 Pixels"", ""Graphics Card Ram Size"": ""3 GB"", ""Item Dimensions  LxWxH"": ""15.07 x 1.14 x 10.23 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""3"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""3 GB"", ""Standing screen display size"": ""15.6 Inches""}",,3.3,29,18,"Standing screen display size, Graphics Coprocessor, RAM, Graphics Card Description, Hard Drive Interface"
B0B4SG98S2,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | AMD Ryzen 5 3500C | 14"" Full HD IPS Touch Display | 8GB DDR4 | 128GB SSD | microSD | Wi-Fi 5 | Backlit Keyboard | Chrome OS | CP514-1WH-R1H8",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","{""RAM"": ""8 GB DDR4"", ""Brand"": ""acer"", ""Color"": ""Gray"", ""Series"": ""CP514-1WH-R1H8"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Ryzen 5 3500"", ""Processor"": ""3.7 GHz ryzen_5_3500"", ""Hard Drive"": ""128 GB SSD"", ""Model Name"": ""CP514-1WH-R1H8"", ""Item Weight"": ""3.42 pounds"", ""Screen Size"": ""14 Inches"", ""Memory Speed"": ""2400 MHz"", ""Chipset Brand"": ""AMD"", ""Wireless Type"": ""Bluetooth, 802.11ac"", ""Hard Disk Size"": ""128 GB"", ""Processor Brand"": ""AMD"", ""Special Feature"": ""Backlit Keyboard"", ""Card Description"": ""Integrated"", ""Operating System"": ""Chrome OS"", ""Best Sellers Rank"": {""2"": 377, ""Computers & Accessories"": 23359}, ""Flash Memory Size"": ""128 GB"", ""Item model number"": ""NX.A02AA.002"", ""Screen Resolution"": ""1920 x 1080 pixels"", ""Optical Drive Type"": ""No Optical Drive"", ""Product Dimensions"": ""12.7 x 8.88 x 0.68 inches"", ""Computer Memory Type"": ""DDR4 SDRAM"", ""Date First Available"": ""March 24, 2022"", ""Graphics Coprocessor"": ""AMD Radeon"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""1920 x 1080"", ""Item Dimensions  LxWxH"": ""12.7 x 8.88 x 0.68 inches"", ""Number of USB 3.0 Ports"": ""3"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""8 GB"", ""Standing screen display size"": ""14 Inches"", ""Average Battery Life (in hours)"": ""10 Hours""}",579.99,4.1,22,17,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B014854RBK,"ASUS Transformer Book Flip TP200SA 11.6-inch 2-in-1 Touchscreen Laptop (Intel Braswell Dual Core N3050 1.6GHz, 4GB RAM, 64GB SSD , Windows 10 Pre-installed)",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","{""RAM"": ""4 GB DDR3"", ""Brand"": ""ASUS"", ""Color"": ""Blue"", ""Series"": ""Transformer Book Flip TP200SA"", ""Voltage"": ""19 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Atom Z8500"", ""Processor"": ""1.6 GHz atom_z8500"", ""Hard Drive"": ""64 GB SSD"", ""Model Name"": ""Transformer Book Flip TP200SA"", ""Item Weight"": ""2.6 pounds"", ""Screen Size"": ""11.6 Inches"", ""Memory Speed"": ""1600 MHz"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""64 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""2"": 1726, ""Computers & Accessories"": 105708}, ""Flash Memory Size"": ""64"", ""Hardware Platform"": ""PC"", ""Item model number"": ""TP200SA-DH04T"", ""Product Dimensions"": ""7.9 x 11.7 x 0.7 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""September 25, 2015"", ""Graphics Coprocessor"": ""Intel HD"", ""Number of Processors"": ""2"", ""Max Screen Resolution"": ""1366*768 Pixels"", ""Item Dimensions  LxWxH"": ""7.9 x 11.7 x 0.7 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""1"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""4 GB"", ""Standing screen display size"": ""11.6 Inches"", ""Average Battery Life (in hours)"": ""8 Hours""}",,3.5,156,17,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B007UNIU48,ASUS Zenbook UX31 13-Inch Laptop [OLD VERSION],Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""4 GB DDR3"", ""Brand"": ""ASUS"", ""Color"": ""Rose Gold"", ""Series"": ""Zenbook"", ""Voltage"": ""19 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""1.8 GHz core_i7"", ""Hard Drive"": ""256 GB SSD"", ""Model Name"": ""Zenbook"", ""Item Weight"": ""2.86 pounds"", ""Screen Size"": ""13 Inches"", ""Memory Speed"": ""1333 MHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11bgn"", ""Hard Disk Size"": ""256 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 7"", ""Flash Memory Size"": ""256"", ""Hardware Platform"": ""PC"", ""Item model number"": ""UX31E-DH72-RG"", ""Product Dimensions"": ""12.9 x 0.3 x 8.9 inches"", ""Audio-out Ports (#)"": ""1"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""January 10, 2012"", ""Graphics Coprocessor"": ""Intel HD Graphics"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""2"", ""Max Screen Resolution"": ""1600x900 Pixels"", ""Item Dimensions  LxWxH"": ""12.9 x 0.3 x 8.9 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""1"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""4 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""13 Inches"", ""Average Battery Life (in hours)"": ""7 Hours""}",,3.3,158,18,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B074V6SPNB,"Futurebatt Laptop Battery 5200mAh for HP EliteBook 8440p 8440w 6930p, Compaq 6730b 6735b 6530b, ProBook 6440b 6445b 6540b 6545b, fits P/N 482962-001 458640-542 HSTNN-UB69",Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""Futurebatt Inc"", ""Batteries"": ""1 Lithium Ion batteries required."", ""Unit Count"": ""1 Count"", ""Item Weight"": ""11.2 ounces"", ""Manufacturer"": ""Dongguan LEWE Electronics co., LTD"", ""Best Sellers Rank"": {""Electronics"": 356783, ""Laptop Batteries"": 7835}, ""Item model number"": ""6535"", ""Package Dimensions"": ""9.75 x 4.25 x 0.4 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required."", ""Date First Available"": ""August 16, 2017"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop"", ""Is Discontinued By Manufacturer"": ""No""}",,4.0,69,1,Batteries
B0052N9HWM,"(Refurbished) SimplyVibe SV-X7 (Black) Premium Rechargeable FM, MP3 Player and Portable Speakers w/ DSP Bass for iPad, iPod, iTouch, iPhone, Laptops (Mac/ PC) and Mobile Devices (10 hr Li Battery) - Accepts USB/Micro SD",Home Audio & Theater,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""SimplyVibe"", ""Color"": ""Black"", ""Media Type"": ""SD Card"", ""Item Weight"": ""1 pounds"", ""Screen Size"": ""3 Inches"", ""Battery Life"": ""10 Hours"", ""Manufacturer"": ""SimplyGlobo Inc."", ""Component Type"": ""Digital Signal Processor, Battery, Speakers, Display"", ""Special Feature"": ""Portable"", ""Item model number"": ""SV-X7-BlackUV"", ""Compatible Devices"": ""Laptop, MP3 Player, Ipad, Mobile Phones, Adapter, Radio, Ipod"", ""Product Dimensions"": ""1 x 1 x 1 inches"", ""Included Components"": ""Earphone, USB Cable"", ""Date First Available"": ""November 4, 2011"", ""Connectivity Technology"": ""Auxiliary, USB""}",,3.2,113,2,"Battery Life, Screen Size"
B07SB5ML21,New Replacement 807956-001 HS03 HS04 Laptop Battery for Hp 14 15 Notebook PC series 15-ay009dx 15-ba009dx 15-af131dx fits Spare 807957-001 Model HSTNN-LB6U HSTNN-LB6V Part Number TPN-C125 TPN-C126,All Electronics,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""IEFUU"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Item Weight"": ""8.8 ounces"", ""Manufacturer"": ""DongGuan Simer Electronics Co.,LTD"", ""Best Sellers Rank"": {""Electronics"": 13726, ""Laptop Batteries"": 23}, ""Item model number"": ""HS04"", ""Product Dimensions"": ""12 x 3 x 2.5 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Date First Available"": ""May 29, 2019"", ""Compatible Phone Models"": ""807956-001 HS03 HS04 Laptop"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop""}",21.59,4.5,1245,1,Batteries
B087R2Z72Q,BTY-M6L Laptop Battery Replacement for MSI GS65 GS75 P65 P75 WS65 WS75 PS63 PS42 Stealth Thin 8SD 8SE 8SF 8SG 8RE 8RF 8RF 9SE 9SF 9SG 10SD 10SE 10SFS 10SGS MS-16Q2 MS-16Q4 MS-17G2 15.2V 80.25Wh,Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""TsuLin"", ""Color"": ""BTY-M6L"", ""Series"": ""BTY-M6L"", ""Voltage"": ""15.2 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Unit Count"": ""1.0 Count"", ""Item Weight"": ""14.4 ounces"", ""Manufacturer"": ""Tsulin (shenzhen) Technology Co., Ltd."", ""Best Sellers Rank"": {""Laptop Batteries"": 3106, ""Computers & Accessories"": 35912}, ""Item model number"": ""BTY-M6L"", ""Product Dimensions"": ""9 x 3 x 1 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Date First Available"": ""April 27, 2020"", ""Item Dimensions  LxWxH"": ""9 x 3 x 1 inches"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop""}",56.99,3.6,37,1,Batteries
B07DRGBS61,"Lenovo Ideapad 330 15.6"" FHD WLED Laptop Computer, 8th Gen Intel Quad Core i5-8250U up to 3.40GHz, 8GB DDR4 RAM, 256GB SSD, 802.11ac WiFi, Bluetooth 4.1, DVDRW, USB Type-C, HDMI, Windows 10",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""8 GB DDR4"", ""Brand"": ""Lenovo"", ""Series"": ""Lenovo Ideapad"", ""Batteries"": ""1 Lithium Polymer batteries required."", ""CPU Model"": ""Core i5"", ""CPU Speed"": ""1.6 GHz"", ""Processor"": ""1.6 GHz core_i5"", ""Hard Drive"": ""256 GB SSD"", ""Model Name"": ""Lenovo Ideapad"", ""Item Weight"": ""4.85 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""3.4 GHz"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""256 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 67881, ""Traditional Laptop Computers"": 14047}, ""Flash Memory Size"": ""256 GB"", ""Hardware Platform"": ""PC"", ""Item model number"": ""Lenovo Ideapad"", ""Screen Resolution"": ""1920 x 1080 pixels"", ""Product Dimensions"": ""14.88 x 10.24 x 0.9 inches"", ""Computer Memory Type"": ""DDR4 SDRAM"", ""Date First Available"": ""June 15, 2018"", ""Hard Drive Interface"": ""Solid State"", ""Number of Processors"": ""4"", ""Hard Disk Description"": ""SSD"", ""Item Dimensions  LxWxH"": ""14.88 x 10.24 x 0.9 inches"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""8 GB"", ""Standing screen display size"": ""15.6 Inches""}",,3.7,83,17,"Standing screen display size, CPU Speed, RAM, Batteries, Graphics Card Description"
B008IEGKTA,HP 120W Advanced Docking Station (A7E36UT),Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Docking Stations""]","{""Brand"": ""HP"", ""Color"": ""Black"", ""Series"": ""A7E36UT#ABA"", ""Wattage"": ""120 watts"", ""Item Weight"": ""1630 Grams"", ""Manufacturer"": ""Hp-Notebook Sb Options"", ""Number of Ports"": ""2"", ""Total USB Ports"": ""2"", ""Best Sellers Rank"": {""Computers & Accessories"": 123061, ""Laptop Docking Stations"": 3084}, ""Item model number"": ""A7E36UT"", ""Hardware Interface"": ""USB 3.0, USB 2.0"", ""Product Dimensions"": ""10.65 x 10.24 x 2.6 inches"", ""Date First Available"": ""July 8, 2012"", ""Item Dimensions LxWxH"": ""10.65 x 10.24 x 2.6 inches"", ""Item Dimensions  LxWxH"": ""10.65 x 10.24 x 2.6 inches"", ""Number of USB 2.0 Ports"": ""2"", ""Is Discontinued By Manufacturer"": ""No""}",,4.7,23,1,Number of USB 2.0 Ports
B07NC3WQ5W,RCA Viking Pro 32gb Quad Core 10.1'' Hdmi Bluetooth Wifi Detachable Keyboard Android 5.0 Lollipop- PINK,Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","{""RAM"": ""1 GB"", ""Brand"": ""RCA"", ""Color"": ""Pink"", ""Voltage"": ""110 Volts"", ""Batteries"": ""1 Lithium Polymer batteries required."", ""Hard Drive"": ""32 GB"", ""Item Weight"": ""1.15 pounds"", ""Screen Size"": ""10 Inches"", ""Power Source"": ""Corded Electric"", ""Wireless Type"": ""Bluetooth"", ""Card Description"": ""Integrated"", ""Operating System"": ""Android 5.0 Lollipop"", ""Best Sellers Rank"": {""2"": 917, ""Computers & Accessories"": 58283}, ""Flash Memory Size"": ""32 GB"", ""Hardware Platform"": ""Android"", ""Item model number"": ""RCA6303W87DK"", ""Screen Resolution"": ""1280 x 800 pixels"", ""Product Dimensions"": ""10.2 x 6.5 x 0.39 inches"", ""Computer Memory Type"": ""DDR SDRAM"", ""Date First Available"": ""October 25, 2015"", ""Graphics Coprocessor"": ""Intel HD Graphics"", ""Number of Processors"": ""4"", ""Item Dimensions  LxWxH"": ""10.2 x 6.5 x 0.39 inches"", ""Rear Webcam Resolution"": ""2 MP"", ""Memory Storage Capacity"": ""32 GB"", ""Standing screen display size"": ""10 Inches""}",,4.0,513,11,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Screen Resolution"
B00405WVVW,ASUS ROG G73JH 17-Inch Gaming Laptop [OLD VERSION],Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""6 GB DDR3"", ""Brand"": ""ASUS"", ""Color"": ""Black"", ""Series"": ""G73 series"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""1.6 hertz core_i7"", ""Hard Drive"": ""500 GB SATA"", ""Model Name"": ""G73 series"", ""Item Weight"": ""5.48 pounds"", ""Screen Size"": ""17 Inches"", ""Memory Speed"": ""1.6 GHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""ATI"", ""Wireless Type"": ""802.11bgn"", ""Hard Disk Size"": ""500 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 7"", ""Best Sellers Rank"": {""Computers & Accessories"": 184829, ""Traditional Laptop Computers"": 43531}, ""Hardware Platform"": ""PC"", ""Item model number"": ""ASUS G73JH-RBBX05"", ""Optical Drive Type"": ""DVD\u00b1R/RW"", ""Product Dimensions"": ""12.2 x 16.5 x 2.2 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""August 20, 2010"", ""Graphics Coprocessor"": ""ATI Radeon HD 5870"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""1600 x 900 Pixels"", ""Graphics Card Ram Size"": ""1 GB"", ""Item Dimensions  LxWxH"": ""12.2 x 16.5 x 2.2 inches"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""6 GB"", ""Standing screen display size"": ""17 Inches"", ""Average Battery Life (in hours)"": ""7200 Hours""}",,3.2,42,16,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B09BBFKC4Z,"HP Pavilion Laptop (2021 Latest Model), 15.6"" FHD Display, Intel Celeron Processor, 16GB DDR4 RAM, 512GB SSD, Online Conferencing, Webcam, HDMI, WiFi, Bluetooth, Windows 10",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""16 GB DDR4"", ""Brand"": ""HP"", ""Color"": ""Black"", ""Series"": ""Pavilion"", ""CPU Model"": ""Celeron"", ""Processor"": ""2.8 GHz celeron"", ""Hard Drive"": ""512 GB SSD"", ""Model Name"": ""Pavilion"", ""Item Weight"": ""3.86 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2.8 GHz"", ""Power Source"": ""Corded Electric, Battery Powered"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""Bluetooth, 802.11a"", ""Hard Disk Size"": ""512 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 58420, ""Traditional Laptop Computers"": 12168}, ""Flash Memory Size"": ""512 GB"", ""Hardware Platform"": ""PC"", ""Item model number"": ""Pavilion"", ""Product Dimensions"": ""14.11 x 9.53 x 0.78 inches"", ""Computer Memory Type"": ""DDR4 SDRAM"", ""Date First Available"": ""July 27, 2021"", ""Graphics Coprocessor"": ""Intel UHD Graphics 600"", ""Hard Drive Interface"": ""Solid State"", ""Number of Processors"": ""2"", ""Max Screen Resolution"": ""1920 x 1080 Pixels"", ""Item Dimensions  LxWxH"": ""14.11 x 9.53 x 0.78 inches"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""16 GB"", ""Hard Drive Rotational Speed"": ""1"", ""Standing screen display size"": ""15.6 Inches"", ""Average Battery Life (in hours)"": ""9 Hours""}",499.0,4.2,128,15,"Standing screen display size, Graphics Coprocessor, RAM, Graphics Card Description, Hard Drive Interface"
B0928QRW4N,"Business Laptop Backpacks for Women Girls,Men Extra Large Travel Backpack with USB Charging Port,TSA Anti Theft Durable Water Resistant College School Computer Bag Fits 17.3'' Laptop Notebook,Purple",Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Bags, Cases & Sleeves"", ""Backpacks""]","{""Brand"": ""LIWAG"", ""Color"": ""Purple"", ""Department"": ""Unisex-adult"", ""Item Weight"": ""2.05 pounds"", ""Manufacturer"": ""LIWAG"", ""Best Sellers Rank"": {""Laptop Backpacks"": 6191}, ""Country of Origin"": ""China"", ""Product Dimensions"": ""15.7 x 10.2 x 19.7 inches"", ""Date First Available"": ""June 17, 2021"", ""Item Dimensions  LxWxH"": ""15.7 x 10.2 x 19.7 inches"", ""Standing screen display size"": ""17.3 Inches""}",45.99,4.7,5417,1,Standing screen display size
B08GWTY65Y,849048-421 SG03XL SG03061XL Battery for HP Envy M7 17t-u100 CTO Series M7-u109dx M7-u009dx 17-u273cl 17-u275cl 17-u292cl 17-u163cl 849315-856 w2k88ua#aba w2k86ua w2k89ua w2k91ua w2k87ua v9e98av,All Electronics,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""DMKAOLLK"", ""Voltage"": ""11.1 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Item Weight"": ""10.8 ounces"", ""Manufacturer"": ""DONG GUAN BOYU ELECTRONICS CO., LTD"", ""Best Sellers Rank"": {""Electronics"": 300715, ""Laptop Batteries"": 6321}, ""Item model number"": ""SG03XL SG03061XL"", ""Product Dimensions"": ""7.6 x 4 x 0.27 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Date First Available"": ""August 30, 2020"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop""}",,4.1,45,1,Batteries
