key,frequency,unique_products,coverage_pct
Finish Type,5743,5743,1.65
Hard Drive Rotational Speed,5477,5477,1.57
Installation Type,5454,5454,1.57
Number of USB 3.0 Ports,5329,5329,1.53
Graphics Card Description,5183,5183,1.49
Total USB Ports,5173,5173,1.49
Item Package Quantity,5028,5028,1.44
Cooling Method,4990,4990,1.43
Pattern,4902,4902,1.41
Headphones Jack,4852,4852,1.39
Batteries Included?,4714,4714,1.35
Average Battery Life (in hours),4699,4699,1.35
Weight,4658,4658,1.34
Keyboard Description,4472,4472,1.28
Refresh Rate,4463,4463,1.28
Number of Channels,4412,4412,1.27
Optical Zoom,4315,4315,1.24
Hard Disk Form Factor,4258,4258,1.22
Screen Surface Description,4218,4218,1.21
Closure Type,4198,4198,1.21
Hard Disk Description,4166,4166,1.20
Digital Storage Capacity,4056,4056,1.16
Maximum Focal Length,4001,4001,1.15
Number of Ports,3991,3991,1.15
Units,3906,3906,1.12
Reusability,3878,3878,1.11
Max Number of Supported Devices,3860,3860,1.11
Wireless communication technologies,3856,3856,1.11
Graphics Card Ram Size,3809,3809,1.09
Hard Disk Interface,3658,3658,1.05
Media Type,3648,3648,1.05
RAM Memory Technology,3581,3581,1.03
Display Technology,3551,3551,1.02
Output Voltage,3517,3517,1.01
Supported Internet Services,3507,3507,1.01
Control Method,3505,3505,1.01
Number of Keys,3468,3468,1.00
Effective Still Resolution,3453,3453,0.99
Focus Type,3451,3451,0.99
Antenna,3434,3434,0.99
Material Type,3410,3410,0.98
Photo Sensor Technology,3299,3299,0.95
Minimum Focal Length,3278,3278,0.94
Auto Focus Technology,3243,3243,0.93
Model Number,3203,3203,0.92
Package Weight,3028,3028,0.87
Item Package Dimensions L x W x H,3011,3011,0.86
Camera Lens Description,2932,2932,0.84
Human Interface Input,2925,2925,0.84
Number of Pieces,2918,2918,0.84
Battery Life,2902,2902,0.83
Optical Drive Type,2872,2872,0.82
Audio Output Mode,2791,2791,0.80
Noise Level,2750,2750,0.79
Gauge,2685,2685,0.77
Rechargeable Battery Included,2670,2670,0.77
Maximum Range,2598,2598,0.75
Rear Webcam Resolution,2561,2561,0.74
Item Hardness,2540,2540,0.73
Photo Sensor Size,2533,2533,0.73
Movement Type,2531,2531,0.73
CPU Speed,2523,2523,0.72
Vehicle Service Type,2479,2479,0.71
Expanded ISO Maximum,2444,2444,0.70
TV Size,2438,2438,0.70
Total Power Outlets,2433,2433,0.70
Target Gender,2419,2419,0.69
Wireless Communication Standard,2375,2375,0.68
Skill Level,2342,2342,0.67
Continuous Shooting Speed,2325,2325,0.67
Data Link Protocol,2306,2306,0.66
Expanded ISO Minimum,2290,2290,0.66
Minimum Compatible Size,2289,2289,0.66
Current Rating,2271,2271,0.65
Viewfinder Type,2260,2260,0.65
Output Wattage,2245,2245,0.64
Shooting Modes,2119,2119,0.61
Room Type,2108,2108,0.61
Maximum Rotational Speed,2105,2105,0.60
Computer Memory Size,2093,2093,0.60
Platform,2092,2092,0.60
Frequency,2090,2090,0.60
Theme,2089,2089,0.60
Tuner Technology,2018,2018,0.58
Display resolution,1967,1967,0.56
Video Standard,1957,1957,0.56
Zoom Type,1938,1938,0.56
Aspect Ratio,1927,1927,0.55
CPU Socket,1927,1927,0.55
CPU Manufacturer,1927,1927,0.55
Movement Detection Technology,1905,1905,0.55
Camcorder type,1904,1904,0.55
Target Audience,1865,1865,0.54
Photo Filter Effect Type,1860,1860,0.53
Video Output Interface,1856,1856,0.53
Graphics Ram Size,1812,1812,0.52
Focal Length Description,1781,1781,0.51
Power Connector Type,1779,1779,0.51
Min Shutter Speed,1750,1750,0.50
Number of Buttons,1748,1748,0.50
Digital Zoom,1748,1748,0.50
Photo Filter Thread Size,1737,1737,0.50
Warranty Description,1723,1723,0.49
Objective Lens Diameter,1701,1701,0.49
Warranty,1701,1701,0.49
Audio Jack,1698,1698,0.49
Battery Description,1697,1697,0.49
Frequency Band Class,1692,1692,0.49
Camera Flash,1691,1691,0.49
OS,1690,1690,0.49
Personal computer design type,1655,1655,0.48
Domestic Shipping,1653,1653,0.47
International Shipping,1653,1653,0.47
Maximum Tilt Angle,1648,1648,0.47
Video Capture Format,1634,1634,0.47
Map Type,1620,1620,0.47
Subwoofer Diameter,1615,1615,0.46
Image Stabilization,1606,1606,0.46
Max Shutter Speed,1597,1597,0.46
GPU Clock Speed,1559,1559,0.45
Coating Description,1552,1552,0.45
White balance settings,1506,1506,0.43
Maximum Weight Recommendation,1504,1504,0.43
Weight Limit,1467,1467,0.42
JPEG quality level,1454,1454,0.42
Battery Weight,1443,1443,0.41
Charging Time,1437,1437,0.41
Surround Sound Channel Configuration,1426,1426,0.41
Exposure Control Type,1412,1412,0.41
Case Type,1405,1405,0.40
Light Source Type,1404,1404,0.40
Component Type,1400,1400,0.40
Hand Orientation,1390,1390,0.40
Impedance,1352,1352,0.39
Assembly Required,1340,1340,0.38
Occasion,1338,1338,0.38
Batteries required,1337,1337,0.38
Other camera features,1322,1322,0.38
Wireless Remote,1318,1318,0.38
Maximum Height,1317,1317,0.38
Chipset Type,1315,1315,0.38
Magnification Maximum,1263,1263,0.36
Age Range Description,1262,1262,0.36
Has Self-Timer,1254,1254,0.36
Supported Standards,1253,1253,0.36
Orientation,1247,1247,0.36
Write Speed,1232,1232,0.35
Tripod Head Type,1230,1230,0.35
Total HDMI Ports,1220,1220,0.35
Radio Bands Supported,1210,1210,0.35
Real Angle of View,1204,1204,0.35
Maximum Aperture,1198,1198,0.34
Display technology,1195,1195,0.34
Format,1187,1187,0.34
Memory Clock Speed,1180,1180,0.34
,1157,1157,0.33
National Stock Number,1157,1157,0.33
Main Power Connector Type,1153,1153,0.33
Read Speed,1133,1133,0.33
Microphone Form Factor,1119,1119,0.32
Switch Type,1110,1110,0.32
Display Fixture Type,1087,1087,0.31
Capacity Total,1071,1071,0.31
Motherboard Compatability,1061,1061,0.30
Digital Scene Transition,1059,1059,0.30
Autofocus Points,1050,1050,0.30
Polar Pattern,1048,1048,0.30
Cache Size,1040,1040,0.30
Metering Description,1033,1033,0.30
GPS,1032,1032,0.30
Suggested Users,1029,1029,0.30
Operation Mode,1027,1027,0.29
Finderscope,999,999,0.29
Amperage,968,968,0.28
Compatible Processors,966,966,0.28
Model,945,945,0.27
Has Image Stabilization,932,932,0.27
Sport Type,926,926,0.27
Audio-out Ports (#),922,922,0.26
Keyboard backlighting color support,912,912,0.26
Scanner Resolution,896,896,0.26
Signal Format,888,888,0.26
Optical Sensor Technology,882,882,0.25
Item Length,871,871,0.25
Plug Format,834,834,0.24
Wireless network technology,827,827,0.24
Low light technology,794,794,0.23
Minimum Aperture,782,782,0.22
Input Device Interface,777,777,0.22
Minimum Height,775,775,0.22
Memory Slots Available,771,771,0.22
Processor Description,757,757,0.22
Removable Memory,756,756,0.22
Frequency Range,751,751,0.22
International Protection Rating,735,735,0.21
Sport,733,733,0.21
Hard Disk Rotational Speed,722,722,0.21
Model Year,717,717,0.21
Number Of Pieces,712,712,0.20
Product Care Instructions,709,709,0.20
Connectivity Protocol,704,704,0.20
Clarity,688,688,0.20
Number of leg sections,645,645,0.19
Film Format Type,624,624,0.18
Auto Part Position,614,614,0.18
Output Power,609,609,0.17
Fan Count,592,592,0.17
Flash Sync Speed,573,573,0.16
Usage,568,568,0.16
Battery Capacity,566,566,0.16
Graphics Card Interface,558,558,0.16
Surface Recommendation,556,556,0.16
Graphics Processor Manufacturer,555,555,0.16
Number of USB 2 Ports,554,554,0.16
Cartoon Character,550,550,0.16
Model number,528,528,0.15
Eye Piece Lens Description,527,527,0.15
Tensile Strength,521,521,0.15
Film Color,519,519,0.15
Optical Storage Device,516,516,0.15
Lux rating,512,512,0.15
Motor Type,509,509,0.15
Battery Type,504,504,0.14
Output Current,500,500,0.14
Electric fan design,498,498,0.14
Lens Coating Description,494,494,0.14
Display Size,488,488,0.14
Audio Encoding,487,487,0.14
RAM Memory Maximum Size,484,484,0.14
Display Dimensions,483,483,0.14
Optical Storage Write Speed,473,473,0.14
Chassis Size,469,469,0.13
Finish,463,463,0.13
Fan Size,454,454,0.13
Installation Method,448,448,0.13
Manufacturer recommended age,439,439,0.13
Voice command,437,437,0.13
Number of Blades,436,436,0.13
Air Flow Capacity,435,435,0.12
Audio Sensitivity,432,432,0.12
Memory Card Slot,428,428,0.12
Year,428,428,0.12
Input Current,427,427,0.12
Input Video Compatability,425,425,0.12
Audio Input,424,424,0.12
Alarm Clock,420,420,0.12
Item display height,412,412,0.12
Band Color,412,412,0.12
Interface Type,406,406,0.12
Expansion,405,405,0.12
Number of Expansion Slots,402,402,0.12
Aperture Modes,399,399,0.11
Exterior Finish,390,390,0.11
Flash Modes Description,389,389,0.11
Assembly required,387,387,0.11
Lens Design,383,383,0.11
Wireless Carrier,380,380,0.11
Audio Recording,376,376,0.11
Number of Pins,375,375,0.11
Image brightness,375,375,0.11
Number of Component Outputs,375,375,0.11
Cellular Technology,374,374,0.11
Battery Cell Type,374,374,0.11
Supported File Format,372,372,0.11
Terminal,368,368,0.11
Objective Lens Description,359,359,0.10
Phone Talk Time,359,359,0.10
Operating Voltage,358,358,0.10
Warranty Type,355,355,0.10
Height (inches),354,354,0.10
Optical Storage Read Speed,341,341,0.10
Power Supply Mounting Type,333,333,0.10
Head Style,331,331,0.10
Ink Color,330,330,0.09
Self Timer Duration,326,326,0.09
Width (inches),325,325,0.09
Power Supply Design,324,324,0.09
Printer Output,324,324,0.09
Type of Bulb,320,320,0.09
Maximum Webcam Image Resolution,320,320,0.09
Ethernet cable category,319,319,0.09
Number of USB 3 Ports,317,317,0.09
Frame Material,316,316,0.09
Certification,316,316,0.09
Number of Speeds,315,315,0.09
Number Of Discs,311,311,0.09
Viewfinder Magnification,307,307,0.09
Exposures per Roll,305,305,0.09
Recording Capacity,301,301,0.09
Printing Technology,301,301,0.09
Pricing,298,298,0.09
OEM Part Number,288,288,0.08
Sheet Size,283,283,0.08
Number of Sets,276,276,0.08
Base Type,276,276,0.08
Display size,275,275,0.08
Telescope Mount Description,274,274,0.08
Is Waterproof,272,272,0.08
Battery Power Rating,270,270,0.08
Type of item,269,269,0.08
Media Playback Supported,268,268,0.08
Audio Output Type,267,267,0.08
Number of Light Sources,265,265,0.08
Finish types,264,264,0.08
Pressure Sensitivity,263,263,0.08
Accessory Connection Type,262,262,0.08
Exterior,262,262,0.08
Phone Standby Time (with data),258,258,0.07
Capacity,255,255,0.07
Security Protocol,253,253,0.07
Assembled Width,251,251,0.07
Lamp Type,250,250,0.07
Supported Audio Format,250,250,0.07
Light Color,249,249,0.07
Total Usb Ports,249,249,0.07
Assembled Height,249,249,0.07
Assembled Length,247,247,0.07
Metal Type,245,245,0.07
Shade Material,242,242,0.07
Compatibility Options,240,240,0.07
Mfg Warranty Description Labor,240,240,0.07
Collection Name,239,239,0.07
Talking Range Maximum,238,238,0.07
Preamp Voltage,228,228,0.07
Actuator Type,226,226,0.06
Release date,225,225,0.06
Depth (inches),223,223,0.06
Color Temperature,220,220,0.06
Number of Cable Strands,217,217,0.06
Fastener Type,215,215,0.06
Flash Memory Installed Size,215,215,0.06
Thread Coverage,215,215,0.06
Supported Image Format,214,214,0.06
Remote Control Included?,214,214,0.06
Processor Count,207,207,0.06
UL Listed,203,203,0.06
Night Vision Range,203,203,0.06
Light Sensitivity,203,203,0.06
Max. compatible device size,202,202,0.06
Speaker Maximum Output Power,202,202,0.06
Cable Length,200,200,0.06
Minimum Input Voltage,198,198,0.06
Number of Positions,198,198,0.06
Manufacturer Warranty Description Parts,197,197,0.06
Color Screen,195,195,0.06
Thread Size,195,195,0.06
PCI-Express Connector Configuration,195,195,0.06
Item Form,194,194,0.06
Print media,188,188,0.05
Page Yield,188,188,0.05
System Bus Standard Supported,187,187,0.05
Touch Screen Type,185,185,0.05
Liquid Volume,181,181,0.05
Upper Temperature Rating,181,181,0.05
Sound Level,180,180,0.05
UPC,178,178,0.05
Delay between shots,177,177,0.05
Video Output Resolution,177,177,0.05
Band Material Type,176,176,0.05
Frame Rate,173,173,0.05
Supported Application,173,173,0.05
Number of pieces,170,170,0.05
SIM card slot count,167,167,0.05
Installation Type Self-Adhesive,166,166,0.05
Shade Color,166,166,0.05
Configuration,165,165,0.05
Tripod mount,161,161,0.05
Battery type,160,160,0.05
Max Printspeed Monochrome,158,158,0.05
Video encoding,157,157,0.05
Closure,157,157,0.05
Scanner Type,155,155,0.04
Maximum Input Voltage,152,152,0.04
Import,150,150,0.04
Fabric Type,150,150,0.04
Answering System Type,149,149,0.04
Control Type,146,146,0.04
Drive System,144,144,0.04
Line Size,141,141,0.04
Display Resolution,138,138,0.04
Viewing Angle,137,137,0.04
Maximum Supply Voltage,137,137,0.04
Maximum Voltage,136,136,0.04
Contact Type,136,136,0.04
Total Ethernet Ports,135,135,0.04
Maximum Print Speed (Color),134,134,0.04
League,134,134,0.04
Image Capture Speed,133,133,0.04
Field Of View,132,132,0.04
Video Input Format,132,132,0.04
Recording Mode,131,131,0.04
Built In Decoders,131,131,0.04
Antenna Type,129,129,0.04
Max Input Sheet Capacity,128,128,0.04
Outer Material,128,128,0.04
Contact Material,127,127,0.04
Alert Type,127,127,0.04
Caller Identification,125,125,0.04
Cooler Heatsink Material,124,124,0.04
Folded Size,124,124,0.04
S/PDIF Connector Type,124,124,0.04
Shape Irregular,120,120,0.03
Digital Recording Time,118,118,0.03
Furniture Finish,115,115,0.03
Minimum Frequency,115,115,0.03
Software Included,114,114,0.03
Lower Temperature Rating,114,114,0.03
Material Vinyl,113,113,0.03
Amperage Capacity,113,113,0.03
Measurement System,113,113,0.03
Internet service provider,111,111,0.03
Zoom Ratio,110,110,0.03
Number of Shelves,109,109,0.03
Temperature Rating,108,108,0.03
Leg Diameter,108,108,0.03
Thickness,107,107,0.03
Specific instructions for use,106,106,0.03
Cable Feature,106,106,0.03
Is Cordless?,105,105,0.03
Light Type,104,104,0.03
Ear Placement,100,100,0.03
Speaker Amplification Type,100,100,0.03
Signal-to-Noise Ratio,99,99,0.03
Telephone Type,98,98,0.03
Handle Material,98,98,0.03
Optical Tube Length,97,97,0.03
Sensor Type,97,97,0.03
Strap Type,96,96,0.03
Networking Feature,95,95,0.03
Base Material,94,94,0.03
Shock Resistant,91,91,0.03
Switch Type Push Button,90,90,0.03
Switch Style,90,90,0.03
Fit Type,89,89,0.03
Microphone Operation Mode,88,88,0.03
Material Plastic,88,88,0.03
AC Adapter Current,86,86,0.02
Light Direction,85,85,0.02
Color Depth,85,85,0.02
Video Input,85,85,0.02
Lock Type,84,84,0.02
Filter Type,84,84,0.02
Color Rendering Index,82,82,0.02
Pre-printed,81,81,0.02
Circuit Type,81,81,0.02
Number of Labels,80,80,0.02
Care instructions,79,79,0.02
LAN Port Bandwidth,78,78,0.02
Number of Compartments,78,78,0.02
Diaphragm Blades,78,78,0.02
Publisher,77,77,0.02
Head Type,75,75,0.02
Dimensions,72,72,0.02
Fastener Size,71,71,0.02
Shelf Type,71,71,0.02
Number of Handles,71,71,0.02
Minimum System Requirements,71,71,0.02
Maximum Frequency,70,70,0.02
Surface Recommendation Wall,69,69,0.02
Position,69,69,0.02
Description Pile,68,68,0.02
Case Material,67,67,0.02
Dialer Type,67,67,0.02
Maximum Power,67,67,0.02
Power Consumption,66,66,0.02
Paper Finish,65,65,0.02
Compatible Material,64,64,0.02
Load Capacity,64,64,0.02
Brightness,63,63,0.02
Item Volume,62,62,0.02
Sheet Count,62,62,0.02
Water Resistance Depth,62,62,0.02
Runtime,61,61,0.02
Graphics RAM Type,61,61,0.02
No. of wires,61,61,0.02
Luminous Flux,60,60,0.02
Inside Pockets,60,60,0.02
Range,60,60,0.02
Power Source Type,60,60,0.02
Number of Drawers,60,60,0.02
ISBN 10,59,59,0.02
Embellishment,59,59,0.02
ISBN 13,59,59,0.02
Average Battery Life,58,58,0.02
Mirror Adjustment,57,57,0.02
Display Style,57,57,0.02
Bulb Base,56,56,0.02
Package Information,56,56,0.02
Number Of Poles,55,55,0.02
Binocular Prism Description,55,55,0.02
Secure Digital Association Speed Class,55,55,0.02
Blade Length,55,55,0.02
Top Material Type,53,53,0.02
Guide Number,52,52,0.01
Safety Rating,51,51,0.01
Maximum memory speed,49,49,0.01
Capacitance,49,49,0.01
Number Of Pockets,49,49,0.01
Maximum Weight Capacity,49,49,0.01
Response Time,49,49,0.01
Specifications,48,48,0.01
Additional product features,47,47,0.01
Handle Type,47,47,0.01
Capacitance Tolerance,43,43,0.01
Insulation Material,43,43,0.01
Switch Installation Type,43,43,0.01
Thread Type,43,43,0.01
Maximum recommended load,43,43,0.01
Speaker Count,43,43,0.01
Specific Uses,43,43,0.01
Hard Drive Size,43,43,0.01
Team Name,42,42,0.01
Material Feature,42,42,0.01
Target gender,42,42,0.01
Grip Type,41,41,0.01
Cover Material,41,41,0.01
Rated,40,40,0.01
Operating Humidity,40,40,0.01
Secondary Cache,40,40,0.01
Exit Pupil,39,39,0.01
Lens Fixed Focal Length,39,39,0.01
Surface Recommendation Window,39,39,0.01
Noise Control,39,39,0.01
Shape Rectangular,39,39,0.01
Efficiency,39,39,0.01
Size Map,39,39,0.01
Assembled Diameter,38,38,0.01
Multiline Operation,38,38,0.01
Modem Type,38,38,0.01
Processor Speed,38,38,0.01
Fishing Technique,38,38,0.01
Supports Bluetooth Technology,37,37,0.01
Supports Bluetooth,37,37,0.01
Coil Voltage,37,37,0.01
Media Format Digital Video,37,37,0.01
Brightness Rating,35,35,0.01
Cutting Diameter,35,35,0.01
Scent,35,35,0.01
Number of Speeds 3,34,34,0.01
Maximum Storage Temperature,34,34,0.01
Crossover Description,33,33,0.01
Is Dishwasher Safe,33,33,0.01
Paperback,33,33,0.01
Eye Relief,33,33,0.01
Biometric Security Feature,32,32,0.01
Compatible products,32,32,0.01
"Mounting Type Desk Fan,Freestanding",32,32,0.01
Number of Component Inputs,32,32,0.01
Mounting Type Freestanding,32,32,0.01
Night vision,31,31,0.01
Seasons,31,31,0.01
Media Format,30,30,0.01
Light fixture form,30,30,0.01
Desk design,30,30,0.01
Material Metal,30,30,0.01
Fastener Material,30,30,0.01
Horsepower,29,29,0.01
Coverage,29,29,0.01
Frame Type,29,29,0.01
Total Recycled Content Percentage,29,29,0.01
Conference Call Capability,28,28,0.01
Opening Mechanism,28,28,0.01
Nominal Wall Thickness,28,28,0.01
Colour,28,28,0.01
Measurement Type,28,28,0.01
Contact Current Rating,27,27,0.01
Maximum Switching Current,27,27,0.01
Item Display dimensions L x W x H,27,27,0.01
Bulb Shape Size,27,27,0.01
Model Info,26,26,0.01
Bulb Type,25,25,0.01
Battery Average Life Standby,25,25,0.01
Temperature Range,25,25,0.01
Wireless Comm Standard,24,24,0.01
Number of Lights,24,24,0.01
Preamp Outputs,24,24,0.01
Image Contrast Ratio,24,24,0.01
Keyboard layout,23,23,0.01
GPU,23,23,0.01
Mounting Type Clip On,23,23,0.01
Number Of Contacts,23,23,0.01
Surface Recommendation Furniture,23,23,0.01
Towel form type,23,23,0.01
Maximum Switching Voltage,23,23,0.01
Point Type,22,22,0.01
Material Polycarbonate,22,22,0.01
Included Flash Type,22,22,0.01
Mounting Type Wall Mount,22,22,0.01
Bulb Features,22,22,0.01
Target Species,21,21,0.01
Generation,21,21,0.01
Average Life,21,21,0.01
Calculator Type,21,21,0.01
Lift Type,20,20,0.01
ISO Equivalent,20,20,0.01
Maximum measuring depth,20,20,0.01
Installation Type Stick,20,20,0.01
Extension Length,20,20,0.01
Incandescent Equivalent Wattage,20,20,0.01
Number of Hooks,20,20,0.01
Maximum Compatible Wattage,20,20,0.01
Capacity Description,20,20,0.01
Alarm,20,20,0.01
Waterproof,20,20,0.01
Dots per screen area,19,19,0.01
Auxiliary input,19,19,0.01
Diameter,19,19,0.01
Lens Color,19,19,0.01
Battery life,19,19,0.01
Input Device,19,19,0.01
Watch Movement,19,19,0.01
Material Acrylonitrile Butadiene Styrene,19,19,0.01
Pocket Description,19,19,0.01
Standard Sheet Capacity,18,18,0.01
Item Diameter,18,18,0.01
Blade Material,17,17,0.00
Engine Type,17,17,0.00
Surface Recommendation Laptop,16,16,0.00
Lens Material,16,16,0.00
Adjustable Length,16,16,0.00
Back Material Type,16,16,0.00
Body Material,16,16,0.00
Roll Quantity,15,15,0.00
Frequency Response Curve,15,15,0.00
Speed,15,15,0.00
Cord Length,15,15,0.00
Best uses,15,15,0.00
null,15,15,0.00
Minimum Supply Voltage,15,15,0.00
Surface Recommendation laptop,14,14,0.00
Mounting Type Tabletop,14,14,0.00
Table design,14,14,0.00
Outside Diameter,14,14,0.00
Number of Players,14,14,0.00
Magnification Minimum,14,14,0.00
Number of Strings,14,14,0.00
Voltage 5 Volts,14,14,0.00
Voltage 12 Volts,14,14,0.00
Binding,14,14,0.00
Volume,13,13,0.00
Sticky notes,13,13,0.00
Flavor,13,13,0.00
Area Lighting Classification,13,13,0.00
Head Size,13,13,0.00
Band Width,13,13,0.00
Publication date,13,13,0.00
Thread Style,13,13,0.00
Cooler Heatsink Compatibility,13,13,0.00
Text to Speech,13,13,0.00
Print length,13,13,0.00
Switch Type Temperature Switch,13,13,0.00
File size,13,13,0.00
Word Wise,13,13,0.00
Enhanced typesetting,13,13,0.00
Fuel Type,13,13,0.00
Material Aluminum,13,13,0.00
Frequency Response,12,12,0.00
Communication technology,12,12,0.00
Hardcover,12,12,0.00
Magnification Strength,12,12,0.00
"Material Silicone, Plastic",12,12,0.00
Maximum Upstream Data Transfer Rate,12,12,0.00
Mounting Type Tabletop Mount,12,12,0.00
Packaging,12,12,0.00
Refill,12,12,0.00
Screen Reader,12,12,0.00
Skin Type,12,12,0.00
X Ray,12,12,0.00
Vehicle Speaker Size,11,11,0.00
Number Of Holes,11,11,0.00
Part number,11,11,0.00
Handle/Lever Placement,11,11,0.00
Maximum Downstream Data Transfer Rate,11,11,0.00
Power Plug Type,11,11,0.00
Color Rendering Index (CRI),11,11,0.00
Stud Size,11,11,0.00
Material Silicone,11,11,0.00
Maximum Sample Rate,11,11,0.00
Hose Length,11,11,0.00
Switch Type Metal,10,10,0.00
Surface Recommendation Plastic,10,10,0.00
Specification met,10,10,0.00
Arm Style,10,10,0.00
Fill Material,10,10,0.00
Faceplate Type,10,10,0.00
Circuit Breaker Type,10,10,0.00
Perfume,10,10,0.00
Point Style,10,10,0.00
Lens Curvature Description,10,10,0.00
Clock Form,10,10,0.00
Total Harmonic Distortion,10,10,0.00
Number of shelves,10,10,0.00
Tick-repellent material,10,10,0.00
"Mounting Type Freestanding,Neck Fan",10,10,0.00
Paper Weight,9,9,0.00
Ultraviolet Light Protection,9,9,0.00
Use for,9,9,0.00
Fit Type Universal Fit,9,9,0.00
Controller Type Button Control,9,9,0.00
Is portable,9,9,0.00
Battery Power,9,9,0.00
Is Foldable,9,9,0.00
Number of Keyboard Keys,9,9,0.00
Mounting Type Free Standing,9,9,0.00
Reading age,9,9,0.00
RAM Size,9,9,0.00
Media Format Type,9,9,0.00
Item Thickness,9,9,0.00
Switch Type Touch Switch,9,9,0.00
Mounting Type Plug-In Mount,8,8,0.00
Display type,8,8,0.00
Mechanical Life Expectancy,8,8,0.00
Installation Type Peel,8,8,0.00
Top Style,8,8,0.00
Ringtones,8,8,0.00
Country/Region of origin,8,8,0.00
Tab Color,8,8,0.00
Is Electric,8,8,0.00
Hair Type,8,8,0.00
Controls Type,8,8,0.00
Total SATA Ports,8,8,0.00
Number of settings,8,8,0.00
Number of Doors,8,8,0.00
Surface Recommendation Metal,8,8,0.00
Surface Recommendation Glass,8,8,0.00
Mounting Type Panel Mount,8,8,0.00
Is Microwaveable,7,7,0.00
Minimum Weight Capacity,7,7,0.00
Tank Volume,7,7,0.00
Surface Recommendation wall,7,7,0.00
Grade level,7,7,0.00
Engine Displacement,7,7,0.00
Mounting Type Desk Fan,7,7,0.00
Number of Bands,7,7,0.00
Maximum Suction,7,7,0.00
Number Of Conductors,7,7,0.00
Maximum Surge Rating,7,7,0.00
Cover Included,7,7,0.00
Manufacturer Grade,7,7,0.00
Voltage 3.7 Volts,7,7,0.00
Shape Round,7,7,0.00
Dishwasher compatible,7,7,0.00
"Surface Recommendation Laptop, Computer",7,7,0.00
Surface Recommendation Floor,7,7,0.00
Pencil Lead Degree (Hardness),7,7,0.00
Number Of Cells,7,7,0.00
Our Recommended age,7,7,0.00
Compatible Device,7,7,0.00
"Surface Recommendation Wall, Door",7,7,0.00
