parent_asin,title,main_category,confidence,reason,brands,laptop_keywords,spec_types
B0BVFKJC89,"Thunderbolt 3 Dock - Dual 4K@60Hz Monitor, Dockteck Laptop Docking Station with 60W Charging, 2 Thunderbolt 3, DP1.4 8K, 2 USB A 10G, USB C Gen 2, UHS-II SD/TF, Audio, RJ45- Mac&Windows",All Electronics,high,Laptop keyword: laptop,N/A,laptop,screen
B07BSCJ6FV,"MPLUS 64 Piece Screwdriver Set with 56 Bit Magnetic Screwdriver Kit Electronics Repair Tool Kit for iPhone, Tablet, MacBook, Xbox, Cell Phone, PC, Game Console.",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B0BD5MBSTM,"Dual HDMI Adapter, Docking Station Dual Monitor, 5 in 1 Dual Monitor Adapter with 2*HDMI 4K, VGA, USB 3.0, 100W PD, Hurple USB C Hub for MacBook Pro Air and More, Compact Design",All Electronics,high,Laptop keyword: macbook,macbook,macbook,screen
B09L85VHL7,"2K Dual Dash Cam, Front and 1080P Inside Car Driving Recorder, Sony IR Night Vision for Taxi Driver, 170° Wide Angle, WDR, G-Sensor, Parking Monitor, Loop Recording, Support GPS 128GB Max",Cell Phones & Accessories,medium-high,Brand (sony) + Specs (screen),sony,N/A,screen
B00ZW80DT8,"WEme USB 3.1 Type C (USB-C & Thunderbolt 3 Port Compatible) to HDMI Adapter Converter Support HD 4K for USB-C Device New MacBook 12 inch 2015, ChromeBook Pixel, Lumia 950 / 950XL (Unibody Aluminum)",Computers,high,Laptop keyword: chromebook,"chromebook, macbook","chromebook, macbook",screen
B0B1WS9874,"HDMI 2.1 Switch, ALYYDBG UHD 8K Bi-Directional HDMI Switch Support 8K@60Hz, 4K@120Hz, 1080P@240Hz for PS5 Xbox Laptop Apple/Sony TV",All Electronics,high,Laptop keyword: laptop,"apple, sony",laptop,screen
B09BBC9ZG5,"Barisc Laptop Stickers of Drew House, Fashion Brand Logo Vinyl Decals Waterproof Graffiti Patches for Water Bottle Luggage Box Skateboard Guitar Bike Car, Gift for Girl Boy Teens Fans Kids 50Pack",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B002ONCCLQ,HP Mini 110-1125NR 10.1-Inch Black Netbook - Up to 8 Hours of Battery Life (Windows 7 Starter),Computers,high,Laptop keyword: netbook,hp,netbook,N/A
B01HGF7VS0,"Andoer A-555 6-Section Aluminum Monopod, Camera Monopod 61.4 inch Max. Height and 15inch Min Height for Nikon Canon Sony Pentax Camera",Camera & Photo,medium-high,Brand (sony) + Specs (screen),sony,N/A,screen
B07VQQWFCZ,Ceocase Protective 14 inches Laptop Sleeve for Lenovo ThinkPad X1 Carbon 7th & 8th Gen 2019 & 2020（Black）,Computers,high,Laptop keyword: laptop,"lenovo, thinkpad","laptop, thinkpad",N/A
B07L38HQGY,"ASUS ROG Zephyrus S Ultra Slim Gaming PC Laptop, 15.6in 144Hz IPS-Type, Intel i7-8750H GeForce GTX 1070, 16GB DDR4, 512GB NVMe SSD Win 10 Home- GX531GS-AH76 (Renewed)",Computers,high,Laptop keyword: laptop,"asus, rog",laptop,"storage, os, ram"
B0B9WCMTK9,"USB-C to USB-C Cable, 1.64ft USB 3.2 100W/5A Fast Charging Type C Charger Cord Nylon USB C Cable Compatible with Samsung Galaxy S22, iPad Mini 6, iPad Pro 2020, iPad Air 4, MacBook Pro 2020, Pixel, LG",Industrial & Scientific,high,Laptop keyword: macbook,"samsung, lg, macbook",macbook,N/A
B019Q194O6,"LQM 11.1V 56Wh New Laptop Battery for Dell XPS 14 15 17 L401x L501x L502x L521x L701X,Compatible P/N:312-1127 J70W7 R795X JWPHF",All Electronics,high,Laptop keyword: laptop,dell,laptop,N/A
B07TJV1KGX,Leaper Cute Navy Style School Laptop Backpack Girls Striped Canvas Bookbag Blue,AMAZON FASHION,high,Laptop keyword: laptop,N/A,laptop,N/A
B00BNVICX2,Onite Laptop Sleeves,Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0C3HNRM47,"Large Dual Monitor Stand Riser - Solid Wood Desk Shelf with Eco Cork Legs for Laptop Computer/TV/PC/Printers, Perfect Desktop Stands Organizer with Underneath Storage for Office Accessories,Vintage",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0B9ML2JQ7,"VIOY Mic Headphone Splitter, 3.5mm Audio Headset Y Splitter Cable TRRS Male to 2 Female Separate Jack for PC Gaming Headset, PS4, Xbox One, Laptops, Tablet, Smartphone…",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B001OQC0KC,Samsung SMX-F34 Flash Memory Camcorder w/16GB Memory & 42x Intelli-Zoom (Black) (Discontinued by Manufacturer),Camera & Photo,medium-high,Brand (samsung) + Specs (ram),samsung,N/A,ram
B085VF4V6Z,Smalloo 3Pcs 100x100x1mm Soft Silicone Thermal Conductive Pads Heatsink IC Chipset Northbridge for SSD/CPU/GPU/LED/IC/Raspberry Pi/Chipset Cooling,Industrial & Scientific,medium,"Multiple specs: cpu, storage",N/A,N/A,"cpu, storage"
B0BGN6JGRT,"EMOGGOKI Gaming Headset for PS4, Xbox One Headset Gaming Headphones Stereo 7.1 Surround Sound, Noise Canceling, Soft Memory Earmuffs Over Ear Headphones for PC, Laptop, PS4, PS5, Xbox One",All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B0B25PFFN1,"USB Hub for Laptop HOYOKI USB 3.0 Hub,Portable Aluminum Data USB Splitter  with SuperSpeed 5Gbps Ultra-Slim USB Port Expander for MacBook Pro/Air, Dell, Chromebook 4",Computers,high,Laptop keyword: laptop,"dell, chromebook, macbook","laptop, chromebook, macbook",N/A
B09NMZX2Y4,"DEEGO Laptop Backpack for Men, Business Travel Backpack Water Resistant with USB Charging Port, TSA Slim Durable Anti Theft College Computer Bag for Men Women fit 17 Inch Laptop, Black",Computers,high,Laptop keyword: laptop,omen,laptop,N/A
B015Y7NC0I,Acer Aspire E-15 15.6 E5-521-24PQ Laptop /AMD Quad-Core/4GB/1TB/Mouse/Case,Computers,high,Laptop keyword: laptop,acer,laptop,N/A
B07JH35Y4D,"Monoprice Blackbird 4K Pro 1x2 Ultra Slim HDMI Splitter - 2 Simultaneous HDMI Outputs, HDR, 18Gbps, 4K 60Hz, YCbCr 4:4:4, HDCP 2.2 (Compatible with PS4/5 Xbox Apple TV Fire Stick Roku Blu-Ray Player)",All Electronics,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B01N97W6LU,"CableCreation 20 Feet CAT 5e Ethernet Patch Cable, RJ45 Computer Network Cord, Cat5/Cat5e/Cat6 LAN Cable UTP 24AWG+100% Copper Wire for PC, Mac, Laptop, PS3, PS4, Xbox, 6.1m, Blue",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B085XXWTG1,"Techcircle Universal Folio Case for 10 inch Tablet, Slim Lightweight Magnet Stand Cover [Card/Money Slots] for iPad 9.7"", Galaxy/Lenovo Tab and More 9.5""-10.5"" Touchscreen Tablet, Blue Butterflies",Computers,medium-high,Brand (lenovo) + Specs (screen),lenovo,N/A,screen
B0BRQHSFB2,"Backpack for Women Men, Work Travel Computer Backpacks, 15.6 Inch Laptop Back Pack with USB Port, College High School Student Bookbag, Nurse Teacher Business Anti Theft Laptop Bag Daypacks, Black",,high,Laptop keyword: laptop,omen,laptop,screen
B01ISKRSIK,"Generic 15.6"" HD Screen Compatible with 15-5558 (NT156WHM-N12 N156BGE-E42 Non Touch) Laptop Replacement LED LCD",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B081K8SNDC,"SideTrak Slide Portable Monitor 12.5"" Screen with Carrying Case - Attaches to Your Laptop for Easy Travel - Efficient USB Power - Fits Mac and PC 13""-17"" Laptops - Full HD IPS Display (Patent Pending)",Computers,high,Laptop keyword: laptop,N/A,laptop,screen
B07LDVX6R6,"Dell Inspiron 13 2-in-1 7386-13.3"" FHD Touch - i5-8265U - 8GB - 256GB SSD - Silver, Model:dell i7386-5038slv-pus",Computers,high,Laptop keyword: 2-in-1,"dell, inspiron",2-in-1,"screen, storage"
B00MXWI0YQ,S-Union New Black Notebook US Keyboard for HP 430 431 435 630 631 635 636 450 455 650 655 Pavilion G4 G6 COMPAQ CQ43 CQ43-100 2000 2000-410US 2000-350US 2000-210US 2000-240CA 2000-100 2000-200,Computers,high,Laptop keyword: notebook,"hp, pavilion, compaq",notebook,N/A
B00YR6BI04,ASUS G751JY 17-Inch Gaming Laptop [2014 model],Computers,high,Laptop keyword: laptop,asus,"laptop, gaming laptop",N/A
B0BDDZD9SN,"AVLT 4-Port USB 3.1 Gen 2 Type C 10G Hub with 85W PD Charging - Portable Multiport Adapter – Fast Data Transfer and Charging for MacBook, Laptop, PC, iPad (Does NOT Support USB-C Monitor)",All Electronics,high,Laptop keyword: laptop,macbook,"laptop, macbook",N/A
B07MWCB67X,"LENTION USB-C Multi-Port Hub with 4K HDMI Output, 100W PD, 4 USB 3.0 Compatible 2023-2016 MacBook Pro, New Mac Air & Surface, Chromebook, More, Stable Driver Adapter (CB-C35, Space Gray)",Computers,high,Laptop keyword: chromebook,"chromebook, macbook, surface","chromebook, macbook",screen
B005NBNTJU,HP 641629-001 Laptop Screen 17.3 LED BOTTOM LEFT WXGA++ 1600x900,Computers,high,Laptop keyword: laptop,hp,laptop,N/A
B00B658CGC,"T POWER 19V Ac Dc Adapter Compatible with HP-Pavilion 20"" 21.5"" 23"" 23.8"" 25"" 27"" IPS LED Backlit Full HD Display Monitor Series: 27 27xw 27xi 27er 27es 25 24ea 25xw 25bw 25xi 22cwa Power Supply",Computers,medium-high,Brand (hp) + Specs (screen),"hp, pavilion",N/A,screen
B005CSNBF6,LotFancy Bronze keyboard for HP Pavilion DV7-1232NR DV7-1240US DV7-1243CL DV7-1245DX DV7-1247CL DV7-1260US DV7-1261WM DV7-1264NR DV7-1267CL DV7-1270US DV7-1273CL DV7-1275DX DV7-1279WM DV7-1285DX Laptop / Notebook US Layout,Computers,high,Laptop keyword: laptop,"hp, pavilion","laptop, notebook",N/A
B0749H15YB,"ProCase iPad Air 10.5"" (3rd Gen) 2019 / iPad Pro 10.5 2017 Case - Premium Stand Case Folio Cover for Apple 10.5"" iPad Air 2019 / iPad Pro 10.5 inch 2017, with Auto SleepWake Function (Navy)",Computers,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B06XW3JJ8Y,"Speck Products 90208-1212 SmartShell Case for MacBook Pro 15"" With Touch Bar, Frosted Clear",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B0B8SX1HWN,"StarTech.com Thunderbolt 3 Dock w/ USB-C Compatibility - Dual Monitor 4K60Hz DisplayPort Laptop Docking Station - 60W PD, GbE, 5x USB Hub - TB3 / USB 3.1 Gen 2 10Gbps Dock - Windows & Mac (TB3CDK2DP)",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B01MYFC86Z,Samsung Electronics UN65MU6500 Curved 65-Inch 4K Ultra HD Smart LED TV (2017 Model),All Electronics,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B07BFB2963,"SHINESTAR M.2 mSATA SSD to SATA or USB Adapter, 2-in-1 NGFF or mSATA SSD Reader Converter Card with 2.5 inch SATA Cable, Support Mini SATA SSD or M.2 SATA Based B Key SSD 2230 2242 2260 2280",Computers,high,Laptop keyword: 2-in-1,N/A,2-in-1,storage
B016971KRE,13 Inch MacBook Air/Pro Laptop CaseCrown Waltham Backpack (Denim Navy Blue) w/Padded Compartment,Computers,high,Laptop keyword: laptop,macbook,"laptop, macbook",N/A
B005WSZ5HI,Genius Micro Traveler 900S Gray Super Mini 2.4GHz Wireless Notebook Mouse,All Electronics,high,Laptop keyword: notebook,N/A,notebook,N/A
B00INF5NKQ,"Earbuds, Alpatronix EX100 Universal 1-Button High Performance Stereo In-Ear Headset with Built-in Mic, Tangle-Free Noise Isolating Earphones for Smartphones, Computers, Tablets & Laptops - (Red/Black)",Home Audio & Theater,high,Laptop keyword: laptop,N/A,laptop,N/A
B001MQ3666,Laptop AC Adapter Charger for Dell XPS M14 M140,Computers,high,Laptop keyword: laptop,dell,laptop,N/A
B004W33MJ2,Pwr for Toshiba Satellite Charger Laptop Power Cord: UL Listed Extra Long C55 C655 C855 L655 S55 P55W E45W A665 C55 C50 C55D C850 PA3822U-1ACA PA3714U-1ACA PA3917U-1ACA PA5177U-1ACA,Computers,high,Laptop keyword: laptop,toshiba,laptop,N/A
B08CGWLK4G,"USB Ethernet Adapter,Bstxnwen Network Adapter USB 3.0 to Network Gigabit RJ45 LAN 10/100/1000 Mbps Adapter Converter for Nintendo Switch, MacBook, Mac Pro Mini, iMac, XPS, Surface Pro, Notebook, PC",Computers,high,Laptop keyword: notebook,"macbook, surface","notebook, macbook",N/A
B07THWPRS1,"Mini PC CHUWI HeroBox Intel Celeron J4125, Window 10 Desktop Computer with 8GB LPDDR4/256GB SSD, Expandable 2.5 Inch HDD, Support Gigabit Ethernet, Linux, BT 4.2, 4K, Dual WiFi",Computers,medium-high,"Brand (chuwi) + Specs (cpu, screen, storage)",chuwi,N/A,"cpu, screen, storage"
B00HRO38KQ,Dell Inspiron 15.6-Inch Touchscreen Laptop (i15RVT-13333BLK) [Discontinued By Manufacturer],Computers,high,Laptop keyword: laptop,"dell, inspiron","laptop, touchscreen laptop",screen
B07DZJK8TK,"Dell XPS 9570, 15.6in UHD (3840 x 2160) InfinityEdge Touch Display, 8th Gen Intel Core i7-8750H, 32GB RAM, 1TB SSD, GeForce GTX 1050Ti, Fingerprint Reader, Windows 10 Pro, Silver (Renewed)",Computers,medium-high,"Brand (dell) + Specs (storage, cpu, os, ram)",dell,N/A,"storage, cpu, os, ram"
B089KC3V55,"Fintie Case for MacBook Air 13 Inch - Fits Previous Generations A1466 / A1369 (Not Fit MacBook Air 13 with Touch ID A2337 (M1) / A2179 / A1932), Slim Snap On Hard Shell Protective Cover, Crystal Clear",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B00F4MEK6E,"Dell Inspiron 15 i15RV-953BLK 15.6 - Inch Laptop (1.90GHz Intel Pentium 2127U 4GB DDR3, 500GB HDD) Black Matte with Textured Finish [Discontinued By Manufacturer]",Computers,high,Laptop keyword: laptop,"dell, inspiron",laptop,"storage, cpu, ram"
B01B7X4HVQ,"Dimples Excel 2 in 1 Precision Stylus with Fine Point Tip Disc and Hybrid Fiber Tip - 4 Replacement Discs and 2 Micro-knit Hybrid Fiber Tips, 2 Pack",Amazon Home,high,Laptop keyword: 2 in 1,precision,2 in 1,N/A
B08X6S4T6M,Amanda A1713 A1708 Battery Replacement for MacBook Pro 13 inch Late 2016 Mid 2017 EMC 2978 EMC 3164 MPXQ2LL/A MLL42LL/A MLL42Y/A 020-00946 11.4V 54.5Wh 4781 mAh - with Tools,All Electronics,high,Laptop keyword: macbook,macbook,macbook,N/A
B09NBS32G1,"Replacement Keyboard for Dell G7 7588 7590 7790, G5 5587 5590, G5 SE 5505, G3 3579 3779 3590 Series Game Laptop, Dell G7 7588 Replacement Keyboard with Red Frame with Backlit US Layout",Computers,high,Laptop keyword: laptop,dell,laptop,N/A
B000FOG604,HP Compaq nc6400 Business Notebook,Computers,high,Laptop keyword: notebook,"hp, compaq",notebook,N/A
B08R9FP7RM,"MSI GE66 Raider 10UG-211 15.6"" 300Hz 3ms Gaming Laptop Intel Core i7-10870H RTX3070 32GB 1TB NVMe SSD Win10 VR Ready",Computers,high,Laptop keyword: laptop,msi,"laptop, gaming laptop","cpu, storage"
B00Q8D2326,16GB (2X 8GB) Kit DDR3 PC3-10600 1333MHz 204Pin SODIMM Laptop Notebook MacBook Pro Memory Ram,Computers,high,Laptop keyword: laptop,macbook,"laptop, notebook, macbook",N/A
B01NBAOLOR,ONTA Kids Headphones for Boys Girls - Child Student Headset Wired plug Toddler Earphones School Teen on Ear for Ipad | Computer | Smart phone | Amazon Fire Tablet | Laptop | Plane Travel | Game purple,All Electronics,high,Laptop keyword: laptop,N/A,laptop,N/A
B07KBYY6XR,3C Light Car Mouse Wireless 2.4GHz Cool Sport SUV Car Shape Mouse Optical Mice 1600 DPI with USB Receiver Suitable for PC/Computer/Laptop (White),Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B07C17N475,"MOSISO Laptop Sleeve Compatible with MacBook Air/Pro, 13-13.3 inch Notebook, Compatible with MacBook Pro 14 inch 2023-2021 A2779 M2 A2442 M1, Diamond Foam Neoprene Bag with Small Case, Gray",Computers,high,Laptop keyword: laptop,macbook,"laptop, notebook, macbook",screen
B08B8JVBDP,"Mektron 2022 2021 2020 for MacBook Pro 13 inch Case M1 M2 A2338 A2289 A2251 with Touch Bar & Touch ID, Abstract Artistic Pattern Plastic Hard Shell Case Keyboard Skin Screen Protector Webcam Cover",Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B01NBPCW2N,2PCS NEW HDD Hard Drive Caddy Cover w/Screws Replacement for Dell Latitude E6330 E6430 E6530,All Electronics,medium-high,Brand (dell) + Specs (storage),"dell, latitude",N/A,storage
B008D96Z8Q,Broadcom BCM70015 Crystal HD PCI Express Mini Card Video/Audio Hardware DecoderHardware Decoder for Apple TV 1080p(TBS7015 ),Computers,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B005UUSHH8,ASUS A53U-EH11 15.6-Inch Versatile Entertainment Laptop (Mocha),Computers,high,Laptop keyword: laptop,asus,laptop,N/A
B09VJTK2KK,"SAMSUNG 75-Inch Class QLED 4K The Frame LS03B Series, Quantum HDR, Art Mode, Anti-Reflection Matte Display, Slim Fit Wall Mount Included, Smart TV w/ Alexa Built-In (QN75LS03BAFXZA, Latest Model)",All Electronics,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B08DNS161K,"Yakry C12 USB 3.0 Type-C External DVD Drive,CD-RW CD-RW Burner Writer Player for MacBook Air, MacBook Pro, Mac OS, PC Laptop with Black",Computers,high,Laptop keyword: laptop,macbook,"laptop, macbook",os
B074PNG17L,Smalody Portable USB HiFi Speakers for Desktop Computer Soundbar 5W Stats Soundbar 9010 Stereo Sound PC Laptop Multimedia Speaker(Black),Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B0767SRTBM,LG Electronics OLED65C6P Curved 65-Inch 4K Ultra HD Smart OLED TV (2016 Model),All Electronics,medium-high,Brand (lg) + Specs (screen),lg,N/A,screen
B0B5GV6MP2,"TEDNETGO Laptop Case, 15.6 inch Laptop Sleeve, Durable 15 inch HP Laptop Bag, Lenovo Computer Briefcase Carrying Cover Case 16 inch Neoprene Bag with Pockets for Dell Asus Gifts for Women Men, Grey",Computers,high,Laptop keyword: laptop,"dell, hp, lenovo, asus, omen",laptop,screen
B09P3QTF1M,"MoKo Case Fit Samsung Galaxy Tab A8 10.5 Inch 2022 [SM-X200/X205/X207], Shock Proof Stand Folio Case,Multi-Viewing Angles, Hard PC Back Cover Fit Galaxy A8 10.5 Tablet, Auto Wake/Sleep, Black",Computers,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B09CTK59VC,"Fintie Hybrid Slim Case for Samsung Galaxy Tab S8 Plus 2022/S7 FE 2021/S7 Plus 2020 12.4 Inch with S Pen Holder, Shockproof Cover with Clear Transparent Back Shell, Auto Wake/Sleep, Blue",Computers,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B00LSRW9GW,"ASUS M32BF-US004S Desktop (3.2 GHz AMD A8-5500 Processor, 4GB DDR3, 1TB HDD, Windows 8.1) (Discontinued by Manufacturer)",Computers,medium-high,"Brand (asus) + Specs (cpu, ram)",asus,N/A,"cpu, ram"
B09V6KYYX1,"Valkit iPad Air (3rd Gen) 10.5'' 2019 / iPad Pro 10.5'' 2017 Case, Smart Folio Stand Protective Translucent Frosted Back Cover for Apple iPad Air 3 10.5 Inch 2019[Auto Sleep/Wake], Brown",Computers,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B0B9GZY3D5,KRACESS KRS-S1 Bike Helmets for Men Smart Helmets for Adults with 1080P 60 fps Sports Camera Dual Antenna Bluetooth Womens Bike Helmet,Sports & Outdoors,medium-high,Brand (omen) + Specs (screen),omen,N/A,screen
B00JPYJQMA,Moon Monkey Exquisite 3.5 Mm Outside Diameter Male to Male Flat Line Design Stereo Audio Cable for Aux Automobile Mp3 Cd Player Laptop or Mobile Phone (1m),Cell Phones & Accessories,high,Laptop keyword: laptop,N/A,laptop,N/A
B004FN0TJK,"HP ENVY 14-1210NR 14.5-Inch Notebook (2.66 GHz Intel Core i5-480M Processor, 4GB DDR3, 750GB HDD, Windows 7 Home Premium) Silver",Computers,high,Laptop keyword: notebook,"hp, envy",notebook,"storage, cpu, ram"
B00IR79QWQ,ASUS Republic of Gamers Nomad Backpack for 17-inches G-Series Notebooks,Computers,high,Laptop keyword: notebook,asus,notebook,N/A
B0BYYMRRJC,"ITRIVIEW Portable Monitor, 15.6 Inch FHD 1080P USB-C Laptop Monitor with Built-in Dual Stereo Speaker, HDR IPS HDMI Computer Removable Protective Case Stand for Surface, PC, PS4, Xbox, Switch",Computers,high,Laptop keyword: laptop,surface,laptop,screen
B0989ZRJQM,"CISSOOK for MacBook Air 13 Inch Case Purple 2021-2018 Release M1 A2337 A2179 A1932 with Retina Display,Plastic Hard Shell Case with Keyboard Cover for MacBook Air 13 with Touch ID - Clear Purple",Cell Phones & Accessories,high,Laptop keyword: macbook,macbook,macbook,screen
B08SW8ZZ35,"USB C to HDMI Adapter for Nintendo Switch,FOXMM 4 in 1 Portable Tempered Glass USB C Hub Adapter with 4K HDMI,USB 3.0/2.0,100W PD Charging Ports,Compatible with Switch Joy Con,MacBook,More Devices",All Electronics,high,Laptop keyword: macbook,macbook,macbook,screen
B07B95QBSG,"TOAST Logo Cutout Cover for the Chromebook 2, Walnut (CB35-CRM-01)",Computers,high,Laptop keyword: chromebook,chromebook,chromebook,N/A
B00B8CBHDS,"Cool-See HDD Cable for MacBook Pro 13"" A1278 2011 HDD Hard Drive Cable with Bracket 821-1226-A",Computers,high,Laptop keyword: macbook,macbook,macbook,storage
B000087BHV,"Apple PowerBook Laptop 12.1"" TFT M8760LL/A (867-MHz PowerPC G4, 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Drive)",Computers,high,Laptop keyword: laptop,apple,laptop,storage
B07C95YGYM,Magnetic Privacy Screen Protector Filter for MacBook Air 13 inch 2010-2017 Anti-Spy Filter,Computers,high,Laptop keyword: macbook,macbook,macbook,N/A
B09Q5TQ2CL,[Apple MFi Certified] 2PACK Lightning to 3.5 mm Adapter，iPhone Aux Adapter Support 2 in 1 Audio + Charger iPhone Splitter Compatible with iPhone 14/13/12/11/X/XR/XS/8/7/6/iPad/iPod,All Electronics,high,Laptop keyword: 2 in 1,apple,2 in 1,N/A
