category,direct,via_children,total_subtree,num_children,pct_direct
Stereo System Components,13,138,151,2,8.609271523178808
Light Meters & Accessories,9,131,140,3,6.428571428571429
Filter Accessories,10,125,135,3,7.407407407407407
Blank Video Media,5,127,132,4,3.787878787878788
Speaker Installation,21,106,127,6,16.53543307086614
CD & Tape Players,5,119,124,3,4.032258064516129
Darkroom Supplies,11,78,89,5,12.359550561797754
Compound Microscopes,1,87,88,3,1.1363636363636365
Printers & Scanners,1,75,76,1,1.3157894736842106
Home Audio Crossovers & Parts,20,49,69,1,28.985507246376812
PC Gaming,1,62,63,1,1.5873015873015872
Mounting Accessories,4,58,62,2,6.451612903225806
CD & DVD Racks,6,47,53,1,11.320754716981131
Underwater Lighting,14,34,48,3,29.166666666666668
Media Storage,4,41,45,1,8.88888888888889
Electronics Gift Guide - Top Tech for Gifting,4,39,43,1,9.30232558139535
Gaming Mice,11,29,40,2,27.5
Gifts for Grads,7,29,36,1,19.444444444444443
Gaming Keyboards,5,29,34,2,14.705882352941176
Amazon Devices,3,10,13,2,23.076923076923077
Computers & Accessories Overstock Event,2,10,12,2,16.666666666666668
Smart Home Security & Lighting,1,6,7,4,14.285714285714286
Data Cables & Chargers,2,2,4,1,50.0
Presentation Supplies,2,1,3,1,66.66666666666667
Toshiba,1,2,3,2,33.333333333333336
