category,type,direct_products,subtree_products,num_children,pct_direct
Telescope & Microscope Accessories,INTERMEDIATE,10,10356,2,0.09656237929702588
Car Audio,INTERMEDIATE,67,10341,8,0.6479063920317184
Earbud Headphones,TRUE_LEAF,10015,10015,0,100.0
Cables,INTERMEDIATE,341,9368,12,3.6400512382578993
Projector Accessories,INTERMEDIATE,66,8626,7,0.7651286807326687
Telephone Accessories,INTERMEDIATE,73,8492,6,0.8596325953838907
Home Theater,INTERMEDIATE,30,8385,4,0.35778175313059035
Networking Products,INTERMEDIATE,265,8319,14,3.1854790239211446
Tablet Replacement Parts,INTERMEDIATE,7,7866,5,0.0889905924230867
Lighting & Studio,INTERMEDIATE,6,7536,4,0.07961783439490445
Batteries & Battery Packs,INTERMEDIATE,1,7476,1,0.01337613697164259
Batteries,INTERMEDIATE,4453,7475,2,59.57190635451505
"Keyboards, Mice & Accessories",INTERMEDIATE,54,7411,4,0.728646606395898
Data Storage,INTERMEDIATE,121,7132,8,1.696578799775659
Monitor Accessories,INTERMEDIATE,203,7088,5,2.863995485327314
USB Cables,TRUE_LEAF,6796,6796,0,100.0
Webcams & VoIP Equipment,INTERMEDIATE,10,6283,3,0.15915963711602737
Telescope Accessories,INTERMEDIATE,93,6054,10,1.5361744301288405
Laptops,INTERMEDIATE,17,5445,2,0.3122130394857668
Bags & Cases,INTERMEDIATE,196,5419,8,3.6169034877283632
Speakers,INTERMEDIATE,193,5332,13,3.619654913728432
Remote Controls,TRUE_LEAF,5305,5305,0,100.0
Traditional Laptops,TRUE_LEAF,4862,4862,0,100.0
Portable Speakers & Docks,INTERMEDIATE,19,4605,3,0.41259500542888167
Microscope Accessories,INTERMEDIATE,5,4292,2,0.11649580615097857
Chargers & Adapters,TRUE_LEAF,4229,4229,0,100.0
Fans & Cooling,INTERMEDIATE,129,4229,8,3.0503665169070704
Digital Camera Accessories,INTERMEDIATE,104,4209,5,2.470895699691138
Lighting,INTERMEDIATE,105,3966,10,2.6475037821482603
Portable Bluetooth Speakers,TRUE_LEAF,3865,3865,0,100.0
Video Surveillance,INTERMEDIATE,119,3834,4,3.1038080333854983
Power Accessories,INTERMEDIATE,71,3739,5,1.898903450120353
Camera Cases,TRUE_LEAF,3730,3730,0,100.0
Screen Protectors,INTERMEDIATE,3650,3660,4,99.72677595628416
Antennas,INTERMEDIATE,1071,3649,2,29.35050698821595
Surveillance Cameras,INTERMEDIATE,305,3616,3,8.434734513274336
Computer Cable Adapters,INTERMEDIATE,506,3595,9,14.07510431154381
Speaker Accessories,INTERMEDIATE,36,3575,2,1.006993006993007
Stands,TRUE_LEAF,3488,3488,0,100.0
Digital Cameras,INTERMEDIATE,196,3451,4,5.679513184584178
Car Video,INTERMEDIATE,89,3412,10,2.6084407971864008
Hard Drive Accessories,INTERMEDIATE,51,3283,5,1.5534572037770331
Over-Ear Headphones,TRUE_LEAF,3212,3212,0,100.0
External Components,INTERMEDIATE,36,3187,5,1.1295889551302165
"Household Batteries, Chargers & Accessories",INTERMEDIATE,26,3160,5,0.8227848101265823
Photo Studio,INTERMEDIATE,177,3139,8,5.638738451736222
Power Strips & Surge Protectors,INTERMEDIATE,24,3138,2,0.7648183556405354
Cord Management,INTERMEDIATE,260,3121,6,8.330663248958667
Connectors & Adapters,TRUE_LEAF,2993,2993,0,100.0
Receivers & Amplifiers,INTERMEDIATE,20,2902,3,0.6891798759476223
Lightning Cables,TRUE_LEAF,2870,2870,0,100.0
Monitors,INTERMEDIATE,2840,2867,3,99.0582490408092
HDMI Cables,TRUE_LEAF,2843,2843,0,100.0
USB Flash Drives,TRUE_LEAF,2818,2818,0,100.0
Sleeves,TRUE_LEAF,2812,2812,0,100.0
Desktops,INTERMEDIATE,112,2743,3,4.083120670798396
Tripods & Monopods,INTERMEDIATE,146,2716,6,5.375552282768778
Televisions,INTERMEDIATE,229,2701,3,8.478341355053685
Keyboards,INTERMEDIATE,2670,2681,2,99.58970533383066
Binoculars & Scopes,INTERMEDIATE,28,2645,5,1.0586011342155008
Video,INTERMEDIATE,74,2590,7,2.857142857142857
Tripod & Monopod Accessories,INTERMEDIATE,125,2516,2,4.968203497615263
Camera Batteries,TRUE_LEAF,2501,2501,0,100.0
Adapters,TRUE_LEAF,2460,2460,0,100.0
Mice,TRUE_LEAF,2458,2458,0,100.0
Lens Accessories,INTERMEDIATE,167,2435,9,6.8583162217659135
Camera Mounts & Clamps,TRUE_LEAF,2387,2387,0,100.0
Memory,TRUE_LEAF,2376,2376,0,100.0
LED & LCD TVs,TRUE_LEAF,2339,2339,0,100.0
Battery Chargers,INTERMEDIATE,836,2289,2,36.52249890782001
"TV Mounts, Stands & Turntables",INTERMEDIATE,31,2288,3,1.3548951048951048
Memory Cards,INTERMEDIATE,64,2286,6,2.7996500437445317
Electronics Warranties,TRUE_LEAF,2283,2283,0,100.0
AC Adapters,TRUE_LEAF,2276,2276,0,100.0
Earpads,TRUE_LEAF,2249,2249,0,100.0
Tablets,TRUE_LEAF,2243,2243,0,100.0
Power Strips,TRUE_LEAF,2239,2239,0,100.0
Backpacks,TRUE_LEAF,2190,2190,0,100.0
Network Adapters,INTERMEDIATE,137,2136,4,6.413857677902621
TV Wall & Ceiling Mounts,TRUE_LEAF,2113,2113,0,100.0
Ethernet Cables,INTERMEDIATE,160,2090,4,7.655502392344498
Graphics Cards,TRUE_LEAF,2037,2037,0,100.0
Point & Shoot Digital Cameras,TRUE_LEAF,1997,1997,0,100.0
Amplifiers,INTERMEDIATE,1274,1986,3,64.14904330312186
Underwater Photography,INTERMEDIATE,34,1870,4,1.8181818181818181
Lenses,INTERMEDIATE,106,1827,3,5.801860974274767
Keyboard Cases,TRUE_LEAF,1812,1812,0,100.0
Network Attached Storage,INTERMEDIATE,273,1804,2,15.133037694013304
Distribution,INTERMEDIATE,143,1773,3,8.065425831923294
Filters & Accessories,INTERMEDIATE,132,1761,9,7.4957410562180575
TV Antennas,TRUE_LEAF,1759,1759,0,100.0
Case Fans,TRUE_LEAF,1730,1730,0,100.0
Memory Card Accessories,INTERMEDIATE,36,1723,3,2.089378990133488
Video Projectors,TRUE_LEAF,1707,1707,0,100.0
Camera Lenses,INTERMEDIATE,198,1694,2,11.688311688311689
Lighting Controls & Modifiers,INTERMEDIATE,11,1672,5,0.6578947368421053
Complete Tripods,TRUE_LEAF,1667,1667,0,100.0
Smartwatches,TRUE_LEAF,1661,1661,0,100.0
Vehicle Audio & Video Installation,INTERMEDIATE,200,1631,4,12.262415695892091
Dome Cameras,TRUE_LEAF,1623,1623,0,100.0
Stereo Jack Cables,TRUE_LEAF,1598,1598,0,100.0
Single Board Computers,TRUE_LEAF,1587,1587,0,100.0
Professional Video Accessories,INTERMEDIATE,152,1562,3,9.73111395646607
Towers,TRUE_LEAF,1552,1552,0,100.0
Backgrounds,TRUE_LEAF,1550,1550,0,100.0
MP3 & MP4 Players,TRUE_LEAF,1547,1547,0,100.0
Messenger & Shoulder Bags,TRUE_LEAF,1529,1529,0,100.0
Motherboards,TRUE_LEAF,1504,1504,0,100.0
Computer Cases,TRUE_LEAF,1496,1496,0,100.0
On-Dash Cameras,TRUE_LEAF,1494,1494,0,100.0
Webcams,TRUE_LEAF,1439,1439,0,100.0
Routers,TRUE_LEAF,1438,1438,0,100.0
Enclosures,TRUE_LEAF,1424,1424,0,100.0
Camcorders,INTERMEDIATE,1361,1418,1,95.9802538787024
Subwoofers,INTERMEDIATE,391,1399,3,27.94853466761973
RCA,TRUE_LEAF,1391,1391,0,100.0
Bullet Cameras,TRUE_LEAF,1373,1373,0,100.0
Mounts,INTERMEDIATE,399,1346,1,29.643387815750373
Power Cords,TRUE_LEAF,1337,1337,0,100.0
Hubs,TRUE_LEAF,1333,1333,0,100.0
SLR Camera Lenses,TRUE_LEAF,1328,1328,0,100.0
New Arrivals - Electronics,INTERMEDIATE,22,1326,5,1.6591251885369533
Skins & Decals,INTERMEDIATE,786,1322,2,59.4553706505295
External Hard Drives,INTERMEDIATE,1306,1320,1,98.93939393939394
Memory Card Readers,TRUE_LEAF,1318,1318,0,100.0
Sports & Handheld GPS,INTERMEDIATE,56,1307,4,4.284621270084163
Camera,TRUE_LEAF,1287,1287,0,100.0
Surveillance Video Equipment,INTERMEDIATE,26,1281,6,2.029664324746292
Camcorder Accessories,INTERMEDIATE,30,1281,1,2.34192037470726
Monitor Stands,TRUE_LEAF,1270,1270,0,100.0
Internal Power Supplies,TRUE_LEAF,1262,1262,0,100.0
Screen Protector Foils,TRUE_LEAF,1251,1251,0,100.0
Covers,TRUE_LEAF,1233,1233,0,100.0
Coaxial Speakers,TRUE_LEAF,1226,1226,0,100.0
On-Ear Headphones,TRUE_LEAF,1224,1224,0,100.0
Power Converters,TRUE_LEAF,1224,1224,0,100.0
USB Network Adapters,TRUE_LEAF,1217,1217,0,100.0
Keyboard & Mice Accessories,INTERMEDIATE,40,1207,2,3.3140016570008286
Flash Accessories,INTERMEDIATE,91,1206,6,7.545605306799336
DVI-HDMI Adapters,TRUE_LEAF,1205,1205,0,100.0
Home Security Systems,TRUE_LEAF,1198,1198,0,100.0
Car Stereo Receivers,TRUE_LEAF,1187,1187,0,100.0
Docking Stations,TRUE_LEAF,1167,1167,0,100.0
Keyboard Skins,TRUE_LEAF,1166,1166,0,100.0
Hard Shell Cases,TRUE_LEAF,1144,1144,0,100.0
Micro SD Cards,TRUE_LEAF,1135,1135,0,100.0
Radios,INTERMEDIATE,107,1125,3,9.511111111111111
Binoculars,TRUE_LEAF,1122,1122,0,100.0
Car Safety & Security,INTERMEDIATE,40,1120,1,3.5714285714285716
Flashes,INTERMEDIATE,82,1109,2,7.39404869251578
Cable Ties,TRUE_LEAF,1106,1106,0,100.0
USB Hubs,TRUE_LEAF,1098,1098,0,100.0
Input Devices,INTERMEDIATE,56,1085,5,5.161290322580645
Vehicle Backup Cameras,TRUE_LEAF,1080,1080,0,100.0
USB Gadgets,INTERMEDIATE,31,1080,3,2.8703703703703702
Vehicle Mounts,TRUE_LEAF,1048,1048,0,100.0
Video Converters,TRUE_LEAF,1034,1034,0,100.0
Compact Radios & Stereos,INTERMEDIATE,14,1034,4,1.3539651837524178
Computer Speakers,TRUE_LEAF,1018,1018,0,100.0
Keyboard & Mouse Combos,TRUE_LEAF,1011,1011,0,100.0
Selector Switch Boxes,TRUE_LEAF,1003,1003,0,100.0
Stabilizers,TRUE_LEAF,977,977,0,100.0
Speaker Mounts,TRUE_LEAF,947,947,0,100.0
Sound Bars,TRUE_LEAF,935,935,0,100.0
Cat 6 Cables,TRUE_LEAF,933,933,0,100.0
Laptop Replacement Parts,TRUE_LEAF,918,918,0,100.0
Accessory Kits,TRUE_LEAF,909,909,0,100.0
Surge Protectors,TRUE_LEAF,875,875,0,100.0
Surveillance DVR Kits,TRUE_LEAF,875,875,0,100.0
CPU Cooling Fans,TRUE_LEAF,873,873,0,100.0
Office Electronics Accessories,INTERMEDIATE,12,873,4,1.3745704467353952
Optical Drives,INTERMEDIATE,35,864,3,4.050925925925926
Satellite Television,INTERMEDIATE,63,858,3,7.3426573426573425
"Binocular, Camera & Camcorder Straps",TRUE_LEAF,856,856,0,100.0
Cleaning & Repair,INTERMEDIATE,21,853,4,2.4618991793669402
Storage & Presentation Materials,INTERMEDIATE,116,847,5,13.695395513577331
Surveillance Housing & Mounting Brackets,TRUE_LEAF,825,825,0,100.0
Film Photography,INTERMEDIATE,27,823,2,3.280680437424058
Radio Antennas,TRUE_LEAF,819,819,0,100.0
Speaker Parts & Components,INTERMEDIATE,52,818,8,6.356968215158925
Streaming Media Players,TRUE_LEAF,814,814,0,100.0
Turntables & Accessories,INTERMEDIATE,47,814,1,5.773955773955774
Blank Media,INTERMEDIATE,73,814,14,8.968058968058967
In-Dash Navigation,TRUE_LEAF,807,807,0,100.0
Amplifier Installation,INTERMEDIATE,52,788,12,6.598984771573604
SATA Cables,TRUE_LEAF,780,780,0,100.0
Cable Straps,TRUE_LEAF,778,778,0,100.0
Surveillance Camera Cables,TRUE_LEAF,774,774,0,100.0
Lens Hoods,TRUE_LEAF,774,774,0,100.0
Labeling Tapes,TRUE_LEAF,771,771,0,100.0
Turntables,TRUE_LEAF,767,767,0,100.0
USB-to-USB Adapters,TRUE_LEAF,767,767,0,100.0
Two-Way Radios,TRUE_LEAF,762,762,0,100.0
USB Fans,TRUE_LEAF,760,760,0,100.0
Receivers,TRUE_LEAF,753,753,0,100.0
Computer Headsets,TRUE_LEAF,750,750,0,100.0
Switches,TRUE_LEAF,747,747,0,100.0
SD Cards,TRUE_LEAF,739,739,0,100.0
Water Cooling Systems,TRUE_LEAF,718,718,0,100.0
Component Subwoofers,TRUE_LEAF,704,704,0,100.0
On-Camera Video Lights,TRUE_LEAF,702,702,0,100.0
Minis,TRUE_LEAF,700,700,0,100.0
DVD Players & Recorders,INTERMEDIATE,33,699,2,4.721030042918455
Marine Electronics,INTERMEDIATE,15,686,11,2.186588921282799
Clock Radios,TRUE_LEAF,675,675,0,100.0
Satellite Equipment,INTERMEDIATE,159,670,2,23.73134328358209
Bluetooth & FM Transmitters,INTERMEDIATE,9,646,2,1.3931888544891642
Handheld GPS Units,TRUE_LEAF,642,642,0,100.0
DSLR Cameras,TRUE_LEAF,641,641,0,100.0
Digital Picture Frames,TRUE_LEAF,634,634,0,100.0
Shoe Mount Flashes,TRUE_LEAF,634,634,0,100.0
I/O Port Cards,INTERMEDIATE,18,634,6,2.8391167192429023
Sports & Action Video Cameras,TRUE_LEAF,632,632,0,100.0
Hard Drive Bags & Cases,TRUE_LEAF,629,629,0,100.0
Lens Caps,TRUE_LEAF,628,628,0,100.0
Monitor Arms,TRUE_LEAF,628,628,0,100.0
"Clips, Arm & Wristbands",TRUE_LEAF,613,613,0,100.0
Digital Voice Recorders,TRUE_LEAF,611,611,0,100.0
Telescopes,INTERMEDIATE,55,607,3,9.060955518945635
Cleaning,INTERMEDIATE,98,602,5,16.27906976744186
Projection Screens,TRUE_LEAF,597,597,0,100.0
CD & DVD Drives,TRUE_LEAF,593,593,0,100.0
Repeaters,TRUE_LEAF,593,593,0,100.0
Soft Boxes,TRUE_LEAF,591,591,0,100.0
CPU Processors,TRUE_LEAF,589,589,0,100.0
Filter Sets,TRUE_LEAF,589,589,0,100.0
Headsets & Microphones,TRUE_LEAF,585,585,0,100.0
Wall Plates & Connectors,TRUE_LEAF,581,581,0,100.0
KVM Switches,TRUE_LEAF,576,576,0,100.0
Graphics Tablets,TRUE_LEAF,573,573,0,100.0
2 in 1 Laptops,TRUE_LEAF,566,566,0,100.0
Adapters & Converters,TRUE_LEAF,564,564,0,100.0
Speaker,TRUE_LEAF,559,559,0,100.0
Audio Docks,TRUE_LEAF,558,558,0,100.0
Replacement Screens,TRUE_LEAF,558,558,0,100.0
Headsets,TRUE_LEAF,556,556,0,100.0
Network Cards,TRUE_LEAF,548,548,0,100.0
Extension Cords,TRUE_LEAF,545,545,0,100.0
Cat 7 Cables,TRUE_LEAF,545,545,0,100.0
Camcorder Batteries,TRUE_LEAF,521,521,0,100.0
DVD Players,TRUE_LEAF,519,519,0,100.0
Portable DVD Players,TRUE_LEAF,518,518,0,100.0
Tripod Heads,TRUE_LEAF,515,515,0,100.0
Cooling Pads & External Fans,INTERMEDIATE,31,511,2,6.066536203522505
Microscopes,INTERMEDIATE,49,500,3,9.8
Wireless Access Points,TRUE_LEAF,493,493,0,100.0
Blu-ray Players & Recorders,INTERMEDIATE,14,491,1,2.8513238289205702
Accessory Bundles,TRUE_LEAF,485,485,0,100.0
Heatsinks,TRUE_LEAF,484,484,0,100.0
Cleaning Equipment,INTERMEDIATE,30,483,5,6.211180124223603
Coaxial Cables,TRUE_LEAF,481,481,0,100.0
Decals,TRUE_LEAF,479,479,0,100.0
Film Cameras,INTERMEDIATE,31,478,7,6.485355648535565
Blu-ray Players,TRUE_LEAF,477,477,0,100.0
Battery Grips,TRUE_LEAF,475,475,0,100.0
Continuous Output Lighting,TRUE_LEAF,470,470,0,100.0
Briefcases,TRUE_LEAF,469,469,0,100.0
samsung_tradein,TRUE_LEAF,461,461,0,100.0
Cooling Pads,TRUE_LEAF,461,461,0,100.0
Computer Microphones,TRUE_LEAF,458,458,0,100.0
Compressed Air Dusters,TRUE_LEAF,455,455,0,100.0
Splitters,TRUE_LEAF,449,449,0,100.0
Case Hardware & Latches,TRUE_LEAF,433,433,0,100.0
Boomboxes,TRUE_LEAF,431,431,0,100.0
FM Transmitters,TRUE_LEAF,427,427,0,100.0
Microphones,TRUE_LEAF,425,425,0,100.0
Powerline Network Adapters,TRUE_LEAF,422,422,0,100.0
Booms & Stands,TRUE_LEAF,419,419,0,100.0
Radio Wiring Harnesses,TRUE_LEAF,419,419,0,100.0
Cat 5e Cables,TRUE_LEAF,417,417,0,100.0
Internal TV Tuner & Capture Cards,TRUE_LEAF,408,408,0,100.0
USB-to-VGA Adapters,TRUE_LEAF,406,406,0,100.0
Macro & Ringlight Flashes,TRUE_LEAF,393,393,0,100.0
Bookshelf Speakers,TRUE_LEAF,390,390,0,100.0
Multichannel Amplifiers,TRUE_LEAF,387,387,0,100.0
Internal Hard Drives,TRUE_LEAF,385,385,0,100.0
Internal Solid State Drives,TRUE_LEAF,383,383,0,100.0
Monoculars,TRUE_LEAF,380,380,0,100.0
All-in-Ones,TRUE_LEAF,379,379,0,100.0
Shortwave Radios,TRUE_LEAF,376,376,0,100.0
Optical,TRUE_LEAF,373,373,0,100.0
Home Theater Systems,TRUE_LEAF,369,369,0,100.0
Cable Raceways,TRUE_LEAF,369,369,0,100.0
Weather Radios,TRUE_LEAF,366,366,0,100.0
Network Antennas,TRUE_LEAF,365,365,0,100.0
Shoe Mounts,TRUE_LEAF,359,359,0,100.0
In-Dash DVD & Video Receivers,TRUE_LEAF,356,356,0,100.0
USB Port Cards,TRUE_LEAF,355,355,0,100.0
Uninterruptible Power Supply (UPS),TRUE_LEAF,353,353,0,100.0
Cable Organizer Bags & Cases,TRUE_LEAF,348,348,0,100.0
Reflectors,TRUE_LEAF,348,348,0,100.0
Instant Cameras,TRUE_LEAF,342,342,0,100.0
Running GPS Units,TRUE_LEAF,335,335,0,100.0
Cable Sleeves,TRUE_LEAF,334,334,0,100.0
Cleaning Kits,TRUE_LEAF,333,333,0,100.0
Lamps,TRUE_LEAF,332,332,0,100.0
Item Finders,TRUE_LEAF,330,330,0,100.0
Monopods,TRUE_LEAF,328,328,0,100.0
Portable CD Players,TRUE_LEAF,324,324,0,100.0
Fish Finders & Depth Finders,TRUE_LEAF,322,322,0,100.0
Telephone Cords,TRUE_LEAF,320,320,0,100.0
Film,TRUE_LEAF,318,318,0,100.0
Diffusers,TRUE_LEAF,315,315,0,100.0
DVI,TRUE_LEAF,315,315,0,100.0
Hidden Cameras,TRUE_LEAF,315,315,0,100.0
USB Microscopes,TRUE_LEAF,314,314,0,100.0
Neutral Density Filters,TRUE_LEAF,313,313,0,100.0
3D Glasses,TRUE_LEAF,307,307,0,100.0
VGA Cables,TRUE_LEAF,306,306,0,100.0
Shutter Release Cords,TRUE_LEAF,303,303,0,100.0
Motion Detectors,TRUE_LEAF,293,293,0,100.0
Whole Home & Mesh Wi-Fi Systems,TRUE_LEAF,293,293,0,100.0
Bluetooth Car Kits,TRUE_LEAF,291,291,0,100.0
Surround Sound Systems,TRUE_LEAF,290,290,0,100.0
HDMI-to-VGA Adapters,TRUE_LEAF,288,288,0,100.0
Coaxial,TRUE_LEAF,284,284,0,100.0
USB Lamps,TRUE_LEAF,283,283,0,100.0
Wireless & Streaming Audio,INTERMEDIATE,44,278,2,15.827338129496402
Internal Optical Drives,INTERMEDIATE,8,278,2,2.8776978417266186
Personal Radios,TRUE_LEAF,276,276,0,100.0
Mirrorless Cameras,TRUE_LEAF,275,275,0,100.0
Bluetooth Network Adapters,TRUE_LEAF,274,274,0,100.0
Modems,TRUE_LEAF,274,274,0,100.0
Battery Holders,TRUE_LEAF,272,272,0,100.0
Housings,TRUE_LEAF,269,269,0,100.0
Mono Amplifiers,TRUE_LEAF,269,269,0,100.0
Viewfinders,TRUE_LEAF,268,268,0,100.0
Remote Control Extenders,TRUE_LEAF,268,268,0,100.0
In-Mirror Video,TRUE_LEAF,263,263,0,100.0
Skylight & UV Filters,TRUE_LEAF,257,257,0,100.0
Bulbs,TRUE_LEAF,257,257,0,100.0
Vehicle GPS,INTERMEDIATE,252,254,1,99.21259842519684
Camera Privacy Covers,TRUE_LEAF,253,253,0,100.0
Subwoofer Boxes & Enclosures,TRUE_LEAF,251,251,0,100.0
Radar Detectors,TRUE_LEAF,251,251,0,100.0
Racks & Cabinets,TRUE_LEAF,249,249,0,100.0
Horns & Sirens,TRUE_LEAF,248,248,0,100.0
Serial Adapters,TRUE_LEAF,247,247,0,100.0
Repair Kits,TRUE_LEAF,242,242,0,100.0
Computer Screws,TRUE_LEAF,242,242,0,100.0
Chargers & Cables,TRUE_LEAF,240,240,0,100.0
Video Monitors,TRUE_LEAF,237,237,0,100.0
GPS Trackers,TRUE_LEAF,235,235,0,100.0
Stereo Shelf Systems,TRUE_LEAF,227,227,0,100.0
CompactFlash Cards,TRUE_LEAF,226,226,0,100.0
Umbrellas,TRUE_LEAF,226,226,0,100.0
Shooting Tents,TRUE_LEAF,224,224,0,100.0
External Solid State Drives,TRUE_LEAF,221,221,0,100.0
Remote Triggers,TRUE_LEAF,221,221,0,100.0
CB Radios & Scanners,INTERMEDIATE,26,221,2,11.764705882352942
Projector,TRUE_LEAF,218,218,0,100.0
Replacement Bands,TRUE_LEAF,217,217,0,100.0
Auxiliary Input Adapters,TRUE_LEAF,217,217,0,100.0
Aviation Electronics,INTERMEDIATE,3,216,4,1.3888888888888888
Camera Brackets,TRUE_LEAF,210,210,0,100.0
Bluetooth Transmitters,TRUE_LEAF,210,210,0,100.0
Cables & Cords,TRUE_LEAF,209,209,0,100.0
Battery Storage Containers,TRUE_LEAF,208,208,0,100.0
Camcorder Cases,TRUE_LEAF,208,208,0,100.0
Gifts for Dads,INTERMEDIATE,3,205,4,1.4634146341463414
Lens Cleaners,TRUE_LEAF,201,201,0,100.0
Internal CD & DVD Drives,TRUE_LEAF,198,198,0,100.0
Strobe Lighting,INTERMEDIATE,6,198,2,3.0303030303030303
Battery & Charger Sets,INTERMEDIATE,15,197,2,7.614213197969543
Satellite Radio,TRUE_LEAF,196,196,0,100.0
Surveillance Video Recorders,TRUE_LEAF,195,195,0,100.0
Outdoor Speakers,TRUE_LEAF,193,193,0,100.0
Speaker Repair,TRUE_LEAF,190,190,0,100.0
Wireless Audio Receivers & Adapters,TRUE_LEAF,189,189,0,100.0
Photo Adapters,TRUE_LEAF,189,189,0,100.0
Fixed-mount CB Radios,TRUE_LEAF,188,188,0,100.0
Lenses & Filters,INTERMEDIATE,6,187,1,3.2085561497326203
Blu-ray Drives,TRUE_LEAF,186,186,0,100.0
Memory Card Cases,TRUE_LEAF,185,185,0,100.0
Floor Cord Covers,TRUE_LEAF,184,184,0,100.0
Memory Card Adapters,TRUE_LEAF,184,184,0,100.0
DVD-R,TRUE_LEAF,182,182,0,100.0
Filters,TRUE_LEAF,181,181,0,100.0
Monolights,TRUE_LEAF,180,180,0,100.0
Floorstanding Speakers,TRUE_LEAF,178,178,0,100.0
Power & Ground Cable,TRUE_LEAF,177,177,0,100.0
Network Transceivers,TRUE_LEAF,177,177,0,100.0
Overhead Video,TRUE_LEAF,174,174,0,100.0
Golf Course GPS Units,TRUE_LEAF,174,174,0,100.0
CD-R,TRUE_LEAF,173,173,0,100.0
Ceiling & In-Wall Speakers,TRUE_LEAF,173,173,0,100.0
Thunderbolt Cables,TRUE_LEAF,172,172,0,100.0
TV Replacement Lamps,TRUE_LEAF,172,172,0,100.0
AV Receivers & Amplifiers,TRUE_LEAF,169,169,0,100.0
Digitizers,TRUE_LEAF,168,168,0,100.0
Digital Pens,TRUE_LEAF,168,168,0,100.0
Battery Testers,TRUE_LEAF,168,168,0,100.0
Refractors,TRUE_LEAF,168,168,0,100.0
Mirrorless Camera Lenses,TRUE_LEAF,168,168,0,100.0
Bluetooth Headsets,TRUE_LEAF,167,167,0,100.0
Camcorder,TRUE_LEAF,166,166,0,100.0
Bag & Case Accessories,TRUE_LEAF,166,166,0,100.0
Camera Supports & Stabilizers,INTERMEDIATE,1,166,5,0.6024096385542169
Portable Line-In Speakers,TRUE_LEAF,163,163,0,100.0
Polarizing Filters,TRUE_LEAF,161,161,0,100.0
Headrest Video,TRUE_LEAF,161,161,0,100.0
Lens Cases,TRUE_LEAF,160,160,0,100.0
Quadcopters & Accessories,INTERMEDIATE,39,160,1,24.375
Eyepieces,TRUE_LEAF,157,157,0,100.0
Numeric Keypads,TRUE_LEAF,155,155,0,100.0
Thermal Paste & Pads,INTERMEDIATE,8,155,2,5.161290322580645
Center-Channel Speakers,TRUE_LEAF,151,151,0,100.0
External Sound Cards,TRUE_LEAF,151,151,0,100.0
Stereo System Components,INTERMEDIATE,13,151,2,8.609271523178808
Record Cleaners & Cleaning Supplies,TRUE_LEAF,150,150,0,100.0
