parent_asin,title,price,average_rating,rating_number,price_segment,connectivity,form_factor,brand,popularity_score,value_score
B018YV3ALM,"USB to Audio Jack,USB to 3.5mm Jack Audio Adapter,3.5mm to USB,USB Headphone Adapter with 3.5mm Aux Stereo Converter Compatible PS4/PS5/PC/Laptop,with Built-in Chip.Plug and Play (White)",,4.2,211,,Unknown,Unknown,USB,0.32021515548398893,
B019033I24,CERRXIAN 0.2m Gold 3.5mm Female Stereo Jack to 2 RCA Plug AUX Auxiliary Headphone Adapter Audio Y Cable(Black)(2-Pack),7.99,4.5,1272,Budget (<$20),Wired,Unknown,CERRXIAN,0.35130220295309444,1.771618625277162
B01930ZOOO,ROCK [Mula] Premium Metal Housing Tangle-Free Durable Braided Cable Low Distortion Noise Isolating Heavy Bass Wired Stereo In-Ear Earbuds Headphones Headset W/Mic Microphone 3.5mm Jack - Rose Gold,,3.8,41,,Wired,Earbuds/In-Ear,ROCK,0.2800409819969502,
B0195SUXMM,Headset Buddy ClearMic for QC25 - Noise Cancelling Boom Microphone for The QuietComfort 25 Headphones (CM2502),,3.4,54,,Unknown,Unknown,Headset,0.24005430114595908,
B0196G8OU6,Audicom PC Headset Adapter Computer Stereo Headphone Dual 3.5mm to Phone Rj9/Rj10 Converter Compatible with Plantronics M10 M12 Amplifier and Cisco IP Phones 7942 7945 7960 7960G 7961(PC35-CSC),,4.0,45,,Unknown,Unknown,Audicom,0.30004508019664533,
B01993UABC,HDE Ear Pieces for Motorola Radios Walkie Talkie 2 Way Radio Earpiece with Mic for Law Enforcement 2 Pin Acoustic Tube Headset and PPT Compatible with CP200 GP2000 XU1100 PRO1150 MU13 (2 Pack),,3.9,98,,Unknown,Unknown,HDE,0.2900993813426044,
B019C2ZBS2,FireAnt 3.5MM Female to 2 Male Gold Plated Headphone Mic Audio Y Splitter Flat Cable,5.99,4.3,230,Budget (<$20),Wired,Unknown,FireAnt,0.3302346219325402,1.3897911832946637
B019DXHF4I,"VersionTECH. Stereo Gaming Headset for Xbox 360, Xbox one PS4 PC, Surround Sound Over-Ear Headphones with Noise Cancelling Mic, LED Lights, Volume Control for Laptop, Mac, iPad, Nintendo Switch",,3.5,25,,Unknown,Over-Ear,VersionTECH.,0.25002458919817017,
B019EZDT04,"FIESAND Soundbuds in-Ear Sport Earbuds, Magnetic Wireless Bluetooth Headphones with 8-Hour Playtime and CVC 6.0 Noise Cancellation",,3.9,865,,Wireless,Earbuds/In-Ear,FIESAND,0.2908852111341255,
B019HW0UBU,"T-Power AC DC Adapter Charger for Creative Sound Blaster X7 & Limited Edition High-Resolution USB DAC 600 ohm Headphone Amplifier,Model No: SB1580 High-Power Adapter Upgrade Power Supply",39.99,3.2,16,Entry ($20-50),Unknown,Unknown,T-Power,0.22001536824885637,12.457943925233646
B019NJRM4A,Puro Sound Labs IEM100 in-Ear Headphones,,3.3,16,,Unknown,Earbuds/In-Ear,Puro,0.23001536824885632,
B019PJL4QU,Riot Project Wired Headphones with Noise Isolating,,3.5,135,,Wired,Unknown,Riot,0.2501372896897834,
B019PJRCQ6,"Satechi Aluminum Bluetooth Wireless Headphones with Enhanced Bass 3.5mm Audio-Out Jack - Compatible with iPhone 12 Pro Max/12 Pro/12 Mini/ 12, 2020 iPad Pro, 2020 iPad Air (Silver)",,3.7,83,,Wireless,Unknown,Satechi,0.270084013093748,
B019SMZVAE,"PARLT Sleeping Headphones - Ultra Thin Earphones - Most Comfortable Headphones for Sleeping - Let You Sleep or Relax While Listening to Your Favorite Music, Podcasts, Audiobooks or Meditations",,3.8,47,,Unknown,Unknown,PARLT,0.2800471292964928,
B019SZ4FLW,KEYBLU 2-Wire CLS1110 Acoustic Tube Earpiece/Headset with PTT and Mic Surveillance Kit for Motorola Walkie Talkie RDM2070d CP200 CP200d CLS1410 CLS1413 CLS1450 Radio,16.99,4.1,1209,Budget (<$20),Unknown,Unknown,KEYBLU,0.31123765630789774,4.1338199513382
B019XTWSMQ,Karnotech REMAX Wired Earphones Stereo Earbuds in-Ear Headphones with Enhanced Bass Noise Reduction Function & Microphone RM 515 Black,,3.7,14,,Wired,Earbuds/In-Ear,Karnotech,0.27001331914900883,
B019XUBY70,iParaAiluRy Replacement Earpads (1 Pair) + Spare Pillow (1 Piece) for G430 G930 Headphones - Blue …,,4.0,68,,Unknown,Unknown,iParaAiluRy,0.3000686448448917,
B019Y5OJRQ,FSL Protec Kids Headphones with Adjustable Volume Limiting (Green),,3.8,678,,Unknown,Unknown,FSL,0.2806936202983831,
B01A0MTUAS,Thermaltake LUXA2 Lavi L Wireless Bluetooth 4.0 On-Ear Headphone AD-HDP-PCLLBK-00,19.01,4.2,198,Budget (<$20),Wireless,On-Ear,Thermaltake,0.32020183633498006,4.515439429928741
B01A0VMV4G,Headphone-1,,3.1,126,,Unknown,Unknown,Headphone-1,0.21012806874046958,
B01A15HK6K,"Modern Style Earphone Replacement by Wires That Work (Gold and White) Stereo Earbuds, Headphones, Headset Ear Phones w/Mic & Remote for iPhone, iPod, iPad, Android & MP3",,3.4,33,,Unknown,Earbuds/In-Ear,Modern,0.2400327855975602,
B01A4WUKQW,"Chill Headphones for Kids & Adults - Most Comfortable, Durable, Affordable Wired Headphones - Volume Limit for Your Child's Ear Safety with Studio-Quality Sound",,3.6,110,,Wired,Unknown,Chill,0.26011167594168944,
B01A4WUMRO,"Chill Headphones for Kids & Adults - Most Comfortable, Durable, Affordable Wired Headphones - Volume Limit for Your Child's Ear Safety with Studio-Quality Sound",,3.6,112,,Wired,Unknown,Chill,0.26011372504153696,
B01A59N8WW,"Adoric Earphones/Earbuds/Headphones with Stereo Mic & Remote Control Plus 3FT Nylon Braided iPhone Charging Cable for iPhone 6/6Plus/6S,iPhone 5s/5c/5,iPad /iPod and more(Silver)",,3.0,159,,Wired,Earbuds/In-Ear,Adoric,0.20016187888795353,
B01A5D5XF8,Brainwavz Xfit XF-200 in-Ear Sport Earbuds Noise Isolating Earphones Stereo Headphones Remote & Microphone for Apple iPhone & Android Phones (White),,3.5,224,,Unknown,Earbuds/In-Ear,Brainwavz,0.2502284746329977,
B01A5EXIQI,"Earphones, SmartSpeed K38 in-Ear Headphones Sports Earbuds with Microphone Stereo Earphones for Running Black",,3.0,35,,Unknown,Earbuds/In-Ear,"Earphones,",0.20003483469740774,
B01A6NMK4E,KEYBLU FBI Style RDM2070d Security Surveillance Transparent Acoustic Tube Earpiece Headsets with PTT Mic Surveillance Kit Compatible with Motorola CP200 CP200d CLS1410 GP300 2-Way Radio,16.95,3.6,153,Budget (<$20),Unknown,Unknown,KEYBLU,0.260155731588411,4.695290858725762
B01A6P02BA,Soft Replacement Earpads Ear Pads Cushion for Bose OE2 OE2i Headphone (Black),,3.5,35,,Unknown,Unknown,Soft,0.2500348346974077,
B01A6TV0F8,Beats by Dr Dre Powerbeats 2 Wireless in-Ear Headphone Black Sport MKPP2PA/A,,4.1,205,,Wireless,Earbuds/In-Ear,Beats,0.3102090081844463,
B01AAU6OR2,Sentey Wired Headphones Warp Pro Black Rubber Painting LS-4422 Over-The-Ear with Detachable 3.5mm in-Line Microphone Audio Cable and Carrying Case for Music Running Gaming Headset Men Woman Kids,,3.8,300,,Wired,Unknown,Sentey,0.28030634042720315,
B01ABMUZZ6,urBeats Wired in-Ear Headphone - Rose Gold,,4.2,677,,Wired,Earbuds/In-Ear,urBeats,0.3206925957484594,
B01ABNG3OW,"VANDESAIL Audio Adapter, 90° Right Angle Stereo Headphone Adapters 3.5mm Male to Female Jack Gold Plated Plug",,4.4,345,,Unknown,Unknown,VANDESAIL,0.3403524451737723,
B01ABOKRPC,"Sinvitron Bluetooth Stereo Transmitter, Mini V4.0 A2DP Portable Wireless Stereo Music Transmitter Support Two Bluetooth Headphones/Headset/Speakers Simultaneously for TV PC MP3/MP4 Etc.",,3.7,223,,Wireless,Unknown,Sinvitron,0.2702274500830739,
B01ABRS00S,ISAIBELL 3.5mm Female to 2 Male Gold Plated Headphone Mic Audio Y Splitter Flat Cable(Red),5.59,4.2,846,Budget (<$20),Wired,Unknown,ISAIBELL,0.3208657446855742,1.327790973871734
B01ABV58U4,ReTrak Retractable Earbud with In-Line Mic for VOIP Calling Computer Headset with Microphone (ETAUDIOVOIP),,3.1,36,,Unknown,Earbuds/In-Ear,ReTrak,0.2100358592473315,
B01ABWGHHG,KINDEN 5 Pairs Medium Size Replacement Foam Earbud Memory Eartips Replacement for All Models in-Ear Headphones Earphones (Red),,3.9,74,,Unknown,Earbuds/In-Ear,KINDEN,0.2900747921444342,
B01ABWGISY,KINDEN 5 Pairs Medium Size Replacement Foam Earbud Memory Eartips Replacement For All Models In-Ear Headphones Earphones (black),,3.8,112,,Unknown,Earbuds/In-Ear,KINDEN,0.2801137250415369,
B01ADEGAJW,"Headphones,Max Caser in-Ear Earphones Stereo Earbuds Headphone with Microphone and Volume Control (Black)",,3.2,47,,Unknown,Earbuds/In-Ear,"Headphones,Max",0.2200471292964928,
B01AHSNKH4,"Headphones, Super Bass in-Ear Headphone with Mic, Wired Headset Earbuds Stereo & Remote Control Noise Reduction for Sports Running (Gold)",,3.9,118,,Wired,Earbuds/In-Ear,"Headphones,",0.2901198723410795,
B01AHTVKFW,"Headphones, Super Bass in-Ear Headphone with Mic, Wired Headset Earbuds Stereo & Remote Control Noise Reduction for Sports Running (Pink)",,4.1,58,,Wired,Earbuds/In-Ear,"Headphones,",0.3100583993456541,
B01AKBTLGW,KICKER EB73B Flow Premium Earbuds | in-Ear Noise-Isolating Earphones | Silicon Ear Tips 4 Sizes | in-Line Mic and Multi-Function Button | Legendary Audio Quality,7.95,4.2,79,Budget (<$20),Unknown,Earbuds/In-Ear,KICKER,0.3200799148940531,1.8883610451306414
B01AL229Q4,Headphone Adapter,,4.6,23,,Unknown,Unknown,Headphone,0.36002254009832263,
B01ANENCB6,"Topping NX1S Portable Earphone Amplifier Portable Amps with 40 Hours Continuous Play Time for Phones, MP3s, Digital Players and Computers - Black",,3.5,21,,Unknown,Unknown,Topping,0.2500204909984751,
B01ANGOUA6,"Sigoma 4GB Waterproof Mp3 Player with water resistant Headphones,FM Radio, Clip design for Swimming, Running, Diving, GYM, Outwork, Winter Sports (Orange)",,3.2,16,,Unknown,Unknown,Sigoma,0.22001536824885637,
B01ANHW7QO,"Sigoma 4GB waterproof Mp3 music player with water resistant Headphones,FM Radio, Clip design for Swimming, Running, Diving, GYM, Outwork, Winter Sports (Black)",,3.2,39,,Unknown,Unknown,Sigoma,0.22003893289710277,
B01ANI65X4,"Yostyle Headphone Stand with USB Charger, Under Desk Headset Hook Holder Hanger Mount with 5 USB Port Quick Charging Station(8A/40W),iWatch Charging Dock for PC Gaming Headsets Accessories,UL Tested",,4.2,13,,Unknown,Unknown,Yostyle,0.32001229459908515,
B01ANPI058,Voistek Wired Wired Cell Phone Headset with Noise Canceling Boom Mic & Adjustable Headband for iPhone Samsung LG HTC BlackBerry Huawei ZTE Mobile Phone & Smartphones with 3.5mm Headphone Jack,,3.4,26,,Wired,Unknown,Voistek,0.2400256137480939,
B01AOLSXJ4,"Modern Portable Protective Headphone Carrying Case : A Portable Protective Carrying Case Made to Protect Your HiFi Elite Super66, Bose Headphones, Beat by Dre Headphones and More - (Black)",,4.1,92,,Unknown,Unknown,Modern,0.3100932340430618,
B01AQPT248,"DigiHero 4 Pairs Earbud Securer/Keeper Popular for EarPods,Earbuds Earhook/Attachment/Cover/Sport Grips Compatible with iPhone 6/6+/5/5S/5C (Clear White,Clear Gray)",,3.2,21,,Unknown,Earbuds/In-Ear,DigiHero,0.22002049099847515,
B01ARIQX3W,iFi Micro iCAN SE Headphone Amplifier,,3.9,22,,Unknown,Unknown,iFi,0.2900215155483989,
B01ARR19NW,"Bluetooth Headphones, Otium Wireless Bluetooth Sports Headphone With Mic Waterproof Bluetooth Headsets Stereo Headphone Mini Earpiece Exercise Earbuds",,3.5,101,,Wireless,Earbuds/In-Ear,Bluetooth,0.25010245499237566,
B01ASFDHPG,"Alpine UTE-73BT In-Dash Single Din MP3 Am/FM Receiver Dual USB, Front Auxiliary, Iphone Pandora Internet Radio, Variable Color Illumination, Digital Media Receiver/Free Alphasonik Earbuds",,4.5,633,,Unknown,Earbuds/In-Ear,Alpine,0.35064751555181406,
B01AU0F0SQ,Studio 2 Memory Foam Ear Pads - Protein Leather Replacement Parts Ear Cushion Cover Earpads Ear Cups for Beats Studio 2.0 Wired/Studio 2.0 Wireless B0500 / B0501 Headphone - Red,,4.2,211,,Wireless,Over-Ear,Studio,0.32021515548398893,
B01AUOSUB6,SoundPie SU18 Gold Plated 3.5mm Stereo Female to 2 Male 3.5mm Y-Splitter Aux Cable Earphone to Computer Auxiliary Cable for Skype(Metal-Red),,3.7,54,,Wired,Unknown,SoundPie,0.27005430114595913,
B01AAXPZVU,6-in-1 Wireless RF Headphones for TV Laptop MP3 Players - Built in Microphone for Internet Chat,,3.5,151,,Wireless,Unknown,6-in-1,0.25015368248856346,
B01AV4PR9I,JBL Everest Elite 700 NXTGen Noise-Canceling Bluetooth Around-Ear Headphones (Black),,3.1,55,,Wireless,Unknown,JBL,0.21005532569588287,
B01AXSWHSQ,G-Cord In-Ear Earphones Stereo Sound Earbuds Noise Isolating Hands-Free Headphones with Built-in Mic,,3.1,59,,Unknown,Earbuds/In-Ear,G-Cord,0.21005942389557788,
B00PMM6N3E,"Powerbeats2 Wireless In-Ear Headphone, Active Collection - Flash Blue",,4.1,6072,,Wireless,Earbuds/In-Ear,Powerbeats2,0.31622004258712516,
B01AZEYT1G,"Antlion Audio USB Adapter with 3.5mm Speaker/Headphone and Microphone Jacks - Built-in Compatibility with Windows, Linux and Mac OS",,3.6,31,,Unknown,Unknown,Antlion,0.2600307364977127,
B01B0W5UW4,"2PK Life Proof Replacement Headphone Adapters / Connectors for iPhone 6S, 6S Plus, 6, 6 Plus Cases",,3.2,33,,Unknown,Unknown,2PK,0.22003278559756023,
B01B0W5VGY,"Replacement Life Proof Headphone Adapter Connector Plug (4PK) for iPhone 6S, 6S Plus, 6, 6 Plus",,3.9,32,,Unknown,Unknown,Replacement,0.29003176104763645,
B01B2F26RG,"Wireless Headphones Bluetooth, MOSCHE Bluetooth 4.1 Wireless Stereo Headsets with Retractable Earbuds with Mic for Cell Phone (Pink)",,3.1,201,,Wireless,Earbuds/In-Ear,Wireless,0.2102049099847513,
B01B2H4FVY,"Geekria Comfort Foam Replacement Ear Pads for GRADO SR125, SR225, SR325, SR60, SR80, SR80e, M1, M2 Headphones Ear Cushions, Headset Earpads, Ear Cups Cover Repair Parts (Black)",13.9,4.2,632,Budget (<$20),Unknown,Unknown,Geekria,0.32064649100189035,3.3016627078384797
B01B2H4IF2,"Geekria QuickFit Protein Leather Replacement Ear Pads for Sony MDR-NC60 Headphones Earpads, Headset Ear Cushion Repair Parts (Black)",13.99,4.5,185,Budget (<$20),Unknown,Unknown,Geekria,0.3501885171859712,3.1019955654101996
B01B2P9S36,TNP 3.5mm to RCA Audio Cable Adapter (10 inch) - Bi-Directional AUX Auxiliary Male Headphone Jack Plug Y Splitter to Left/Right Stereo 2RCA Female Connector Wire Cord,,4.3,18,,Wired,Unknown,TNP,0.3300174173487039,
B01B44XM9G,SONY Walkman 8GB headphone-integrated NW-WS414 / B (Black),,4.0,50,,Unknown,Unknown,SONY,0.3000502029462641,
B01B4AO942,"3.5mm Aux Headphone Extension Cable 15 Feet (4.5 Meters) 3.5mm Male to Female Stereo Audio Extension Cable 15ft (4.5M) for Car, Stereo, iPhone, Smartphone or any Audio Device CNE502200 (5 Pack)",28.99,4.4,644,Entry ($20-50),Wired,Unknown,3.5mm,0.34065878560097546,6.573696145124716
B01B6QAT66,for iPhone /7/7Plus/8/8 Plus/X/Xs Adapter Headphone Jack Splitter Adapter Earphone Audio Cable and Charger Accessories 2 in 1 Earphone Splitter Car Charger Adapter Support iOS 12 System,,4.6,110,,Wired,Unknown,for,0.3601116759416894,
B01B79UWX2,808 Audio EAR CANZ Wireless Earbuds with Bluetooth - Black,,2.6,217,,Wireless,Earbuds/In-Ear,808,0.16022130278353142,
B01B9IDI4G,"Gator Cases G-CLUB Series Carry Bag for DJ Style Headphones and Accessories; (G-CLUB-HEADPHONE),Black",47.79,4.4,87,Entry ($20-50),Unknown,Unknown,Gator,0.34008811129344313,10.83673469387755
B01BBFKS18,"Earphones,Sungluber(TM) Modern Audiophile Hi-Fi Earbuds in Ear, Noise Isolation Headphones with mic&microphone fit iphone ,samsung,sony for running",,3.7,174,,Unknown,Earbuds/In-Ear,"Earphones,Sungluber(TM)",0.27017724713680985,
B01BBWUAW8,SONY Walkman 4GB headphone-integrated NW-WS413 (Blue),,4.1,1488,,Unknown,Unknown,SONY,0.3115235057366258,
B01BBX1NNM,"FiiO K5 Docking Headphone Amplifier/DAC, Titanium",,4.3,126,,Unknown,Unknown,FiiO,0.33012806874046957,
B01BCD3DRA,beyerdynamic T5p Second Generation Audiophile Headphone,,4.1,137,,Unknown,Unknown,beyerdynamic,0.31013933878963085,
B01BD5TX2G,"[EOL] Universal Rectangle Shaped Portable Protection Hard Case for Wired, Wireless, Bluetooth Earbuds Headsets, with Inner Mesh Pocket, Strong Zipper, by Brainwavz [EOL]",,3.9,104,,Wireless,Earbuds/In-Ear,[EOL],0.2901055286421469,
B01BDKZ68Q,MagiDeal Ear Pads Cushions for Sony MDR ZX100 ZX300 Headset Headphone Grey,,3.5,67,,Unknown,Unknown,MagiDeal,0.25006762029496793,
B01BFQJ3NC,Josi Minea x 2 Pcs 3.5mm Audio Jack Extender Headphone Adapter with Gold Plated 4-Pole Connectors for Apple iPhone 6/6S/6+/5S/5 iPad Samsung Galaxy S6/S5 Note & Most Smartphones & Tablets [ 2 Pack ],,4.2,126,,Unknown,Unknown,Josi,0.3201280687404696,
B01BFQJ7JC,Josi Minea x 3 Pcs 3.5mm Audio Jack Extender Headphone Adapter with Gold Plated 4-Pole Connectors for Apple iPhone 6/6S/6+/5S/5 iPad Samsung Galaxy S6/S5 Note & Most Smartphones & Tablets [ 3 Pack ],,4.0,70,,Unknown,Unknown,Josi,0.30007069394473923,
B01BFQJBFM,Josi Minea x 5 Pcs 3.5mm Audio Jack Extender Headphone Adapter with Gold Plated 4-Pole Connectors for Apple iPhone 6/6S/6+/5S/5 iPad Samsung Galaxy S6/S5 Note & Most Smartphones & Tablets [ 5 Pack ],,4.3,46,,Unknown,Unknown,Josi,0.33004610474656904,
B01BH714XG,MEE audio MMCX Headset Cable with in-line Remote and Microphone for Pinnacle P1 in-Ear Headphones (Black),,3.0,46,,Wired,Earbuds/In-Ear,MEE,0.20004610474656906,
B01BHAU6QO,Bragi - The Dash Truly Wireless Smart Earphones,,3.0,842,,Wireless,Unknown,Bragi,0.20086164648587915,
B01BJ0XZ2O,"2-Pack 3.5mm Audio Stereo Y Splitter Cable 3.5mm Male to 2 Port 3.5mm Female for Earphone and Headset Splitter Adapter, Compatible with iPhone, Samsung, LG Smartphones, Tablets, MP3 players, White",,4.0,63,,Wired,Unknown,2-Pack,0.3000635220952729,
B01BLFYZFI,Tough Tested V4.1 Bluetooth Headset Earphones | Wireless Neckband Headset with 10x Noise Canceling in-Ear Earbuds and Speaker Mode,,3.8,93,,Wireless,Earbuds/In-Ear,Tough,0.28009425859298553,
B01BLQOCYG,"Sony MDRRF985RK Wireless RF Headphone, Black (Certified Refurbished)",,3.8,141,,Wireless,Unknown,Sony,0.28014343698932587,
B01BLR8S3Q,"Vintage Portable Turntable - 3 Speed Record Player Suitcase - Built in Stereo Speaker and Battery - 1/8” Stereo Headphone Jack, Aux Input, RCA Output – Blue VinylPal by ProduTrend",,3.7,123,,Unknown,Unknown,Vintage,0.2701249950906983,
B01BLTQ3E0,"2-Pair Earbuds Microphone with Volume Control, EldHus 6S Headphones with Mic, Android Earphones Noise Cancelling Headphone for 3.5mm Port",,3.9,119,,Unknown,Earbuds/In-Ear,2-Pair,0.29012089689100323,
B01BOJS0DY,"Mobile Spec Headphone Amplifier & Enhancer for Universal/Smart Phone, Black",6.95,3.4,108,Budget (<$20),Unknown,Unknown,Mobile,0.24010962684184192,2.0381231671554256
B01BPEYFU0,Skull Candy S2IKJY529 / S2IKJY-529 / S2IKJY-529 Inkd 2 In-Ear Headphones - Green/Brown,,4.0,200,,Unknown,Earbuds/In-Ear,Skull,0.30020388543482757,
B01BPEZOX2,"Skullcandy Ink'd 2.0 Noise-Isolating Earbud with In-Line Microphone and Remote, Tangle-Reducing Flat Cable, Supreme Sound with Powerful Bass, Natural Vocals, and Precision Highs",,4.5,10325,,Wired,Earbuds/In-Ear,Skullcandy,0.3605774534128612,
B01BPF3MPS,"Skullcandy S6HBJY-534 Hesh 2 Bluetooth Wireless Headphones with Mic, White/Gold",,4.2,84,,Wireless,Unknown,Skullcandy,0.32008503764367185,
B01BTDI1CA,"Woozik B820 in-Ear Noise Isolating Heavy Bass Headphones with Mic, Volume Control and Answer Button for Apple iPhone 6/6s and Android Galaxy (Black)",,3.6,10,,Unknown,Earbuds/In-Ear,Woozik,0.26000922094931384,
B01BTOIKUW,Status Audio HD Headphones,,3.1,74,,Unknown,Unknown,Status,0.21007479214443422,
B01BU5USIM,"CozyPhones Sleep Headphones - Thin Earphone Speakers - Most Comfortable Headphones for Sleeping - Perfect for Air Travel, Relaxation, Meditation & Insomnia - Leopard",18.99,3.7,169,Budget (<$20),Unknown,Unknown,CozyPhones,0.27017212438719107,5.118598382749326
B01BX3ZSXQ,"JBL Reflect Response in-Ear Bluetooth Sport Headphones, Black",,3.4,34,,Wireless,Earbuds/In-Ear,JBL,0.24003381014748396,
B01BX72RUY,AKG Bluetooth Headphone Black (Y50BTBLK),,4.0,549,,Wireless,Unknown,AKG,0.30056145335821854,
B01BX8FVMY,AKG Bluetooth Headphone Silver (Y50BTSLV),,3.8,39,,Wireless,Unknown,AKG,0.2800389328971027,
B01BYTG7YS,"Earphones with Microphone T33i Premium Earbuds Stereo Headphones Volume Control and Noise Isolating, Green",,3.9,158,,Unknown,Earbuds/In-Ear,Earphones,0.29016085433802974,
B01BZ9XNQM,Earphones with Microphone 592G Premium Earbuds Stereo Headphones and Noise Isolating Made for iPhone iPod iPad Samsung Galaxy LG HTC (Gold),,3.5,448,,Unknown,Earbuds/In-Ear,Earphones,0.2504579738159191,
B01BZFYOPU,YCS basics Headphones + Mic/Stereo Headset Adapter Cable for Office/Home Phones,,3.9,74,,Wired,Unknown,YCS,0.2900747921444342,
B01C2YBGAE,"Headphones, In-Ear Earbuds Earphones Headset with Mic Stereo & Volume Control (Golden)",,3.2,18,,Unknown,Earbuds/In-Ear,"Headphones,",0.2200174173487039,
B01C3SK0FG,Headphone Adapter AUX Audio Jack Charging,,4.3,99,,Unknown,Unknown,Headphone,0.33010040589252815,
B073QW4PX6,"WONNIE 12.5 Inch Portable DVD Player with 4 Hour Rechargeable Battery,10.5"" Swivel Screen, SD Card Slot and USB Port and Stereo Earphones (Black)",,4.2,232,,Unknown,Unknown,WONNIE,0.3202366710323878,
B01C6WXD4O,PSWP26BK Waterproof Sport Headphones MP3 Player 8GB Black Color,,3.3,53,,Unknown,Unknown,PSWP26BK,0.2300532765960353,
B01C74181Q,"AXESS MS3912 Mini Entertainment System with AM/FM, USB, CD, MP3 Player & Cassette Recorder With Headphone and Aux Jack",,4.0,209,,Unknown,Unknown,AXESS,0.3002131063841414,
B01C7JN6KW,"Earphone,Splaks Stereo Headphone Earbuds with Mic and Volume Control,Hands-Free Calling,Noise Isolating for iPhone, iPod, iPad, Galaxy, Nokia, HTC, Nexus, BlackBerry etc-Black",,3.0,166,,Unknown,Earbuds/In-Ear,"Earphone,Splaks",0.2001690507374198,
B01C7T4I1S,Aduro Amplify Pro SBN45 Wireless Stereo Around The Neck Earbud Headphone Headset (Black/Gray),,3.9,1739,,Wireless,Earbuds/In-Ear,Aduro,0.2917806677674886,
B01C7T4I9K,Aduro Amplify Pro SBN45 Wireless Stereo Around The Neck Earbud Headphone Headset (Black/Pink),12.99,3.9,840,Budget (<$20),Wireless,Earbuds/In-Ear,Aduro,0.2908595973860316,3.3222506393861897
B01C7XBKDI,"Edifier P220 in-Ear Computer Headset for Samsung, HTC, Apple, LG - Headphones with Microphone - Black",,3.7,9,,Unknown,Earbuds/In-Ear,Edifier,0.27000819639939005,
